A,State,Week,"West Nile virus disease†, Neuroinvasive","West Nile virus disease†, Nonneuroinvasive","Zika virus disease, non-congenital","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable",Tetanus,Varicella morbidity,"Spotted Fever Rickettsiosis, Confirmed","Spotted Fever Rickettsiosis, Probable","Syphilis, primary and secondary",Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†,Shiga toxin-producing Escherichia coli,Shigellosis,"Rabies, animal",Rubella,"Rubella, congenital syndrome","Meningococcal disease, all serogroups",Mumps,Pertussis,Legionellosis,Malaria,"Invasive Pneumococcal Disease, Age LT 5†, Confirmed","Invasive Pneumococcal Disease, Age LT 5†, Probable","Invasive Pneumococcal Disease, all ages†, Confirmed","Invasive Pneumococcal Disease, all ages†, Probable","Hepatitis (viral, acute, by type)†, C, Confirmed","Hepatitis (viral, acute, by type)†, C, Probable","Hepatitis (viral, acute, by type)†, A","Hepatitis (viral, acute, by type)†, B","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis",Giardiasis,Gonorrhea,"Haemophilus influenzae, invasive disease (all ages, all serotypes)","Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",Cryptosporidiosis,"Dengue Virus Infections, Dengue†","Dengue Virus Infections, Severe Dengue",Chlamydia trachomatis infection,Coccidioidomycosis,"Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Klebsiella spp.","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Escherichia coli","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Enterobacter spp.",Babesiosis,Campylobacteriosis,Total,Population_Density(km²),GDP,TAVE,AVE_TMIN,AVE_TMAX,DATE,TAVE_D,AVE_TMIN_D,AVE_TMAX_D,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Colors
0,ALABAMA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37.1993,37508,12.171,6.7228,17.6192,12/1/2017,7.721,2.8608,12.5812,666,1282,116,188,3367,9303,9,7,5,1,1,1,1,1,1,1,1,1,1,1,1,
1,ALASKA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4982,63610,-4.8786,-8.1473,-1.6098,12/2/2017,-10.5896,-13.6562,-7.5229,0,4056,3,14,496,6547,98,11,3,1,1,1,1,1,0,1,1,1,1,1,1,
2,ARIZONA,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,2,1,0,1,0,50,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,261,0,0,0,0,5,330,24.2053,39583,8.9675,2.3711,15.5639,12/3/2017,7.0798,-1.5638,15.7233,0,1187,1,48,1154,4799,213,7,1,3,1,1,1,1,1,1,0,1,1,1,1,
3,ARKANSAS,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22.3967,36714,10.1032,3.93,16.2764,12/4/2017,2.4472,-1.6446,6.539,0,4280,1,74,433,2272,33,44,47,4,1,1,1,1,1,1,1,1,1,1,1,
4,CALIFORNIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4738,60359,7.8147,1.2654,14.3639,12/5/2017,8.6737,2.2241,15.1233,20,14431,275,287,2646,9884,120,45,26,199,1,1,1,1,1,1,0,1,1,1,1,
5,COLORADO,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,393,0,0,0,0,0,0,586,21.1602,54026,-0.6308,-6.5352,5.2736,12/6/2017,-1.2154,-7.0956,4.6648,16,3617,1,34,1435,5368,13,18,2,0,1,1,1,1,1,1,1,1,1,1,1,
6,CONNECTICUT,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,285.9964,62633,4.0211,-1.1211,9.1633,12/7/2017,-3.643,-6.9066,-0.3793,0,1507,104,8,788,1480,180,37,1,8,1,0,1,1,1,1,1,1,1,1,1,
7,DELAWARE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,161.058,63955,7.1161,1.75,12.4821,,1.3,-2.5071,5.1071,0,322,16,11,70,424,43,9,0,2,1,1,1,1,1,1,1,1,1,1,1,
8,FLORIDA,1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,19,1,0,0,0,0,0,0,0,137,5,0,0,0,0,0,292,0,0,0,0,0,0,472,152.5898,39842,20.9483,15.6765,26.2201,,19.0397,13.7443,24.335,0,4190,60,5,4027,2942,1104,10,0,4,0,0,1,0,0,0,1,1,1,1,1,
9,GEORGIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,70.3122,45925,13.4424,7.8458,19.039,,8.6843,4.1862,13.1823,0,2874,7,21,800,5643,468,5,1,4,1,1,1,1,1,1,1,1,1,1,1,
