State,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods
Alaska,666,1282,116,188,3367,9303,9,7,5,1
Alabama,0,4056,3,14,496,6547,98,11,3,1
Arkansas,0,1187,1,48,1154,4799,213,7,1,3
Arizona,0,4280,1,74,433,2272,33,44,47,4
California,20,14431,275,287,2646,9884,120,45,26,199
Colorado,16,3617,1,34,1435,5368,13,18,2,0
Connecticut,0,1507,104,8,788,1480,180,37,1,8
Delaware,0,322,16,11,70,424,43,9,0,2
Florida,0,4190,60,5,4027,2942,1104,10,0,4
Georgia,0,2874,7,21,800,5643,468,5,1,4
Hawaii,0,745,318,152,75,560,14,62,1,4
Iowa,0,4220,46,56,362,2016,19,19,0,1
Idaho,0,2504,19,35,1312,9098,17,14,7,7
Illinois,0,2848,29,18,941,2701,65,51,1,179
Indiana,0,965,3,2,797,3461,27,22,1,0
Kansas,0,3745,0,1,101,2376,9,1,7,0
