"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00054796","KINGSTON 1 NW, RI US","2017-12-01",,,"11.1",",,R","-2.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-02",,,"7.2",",,R","-4.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-03",,,"6.8",",,R","-3.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-04",,,"8.1",",,R","-3.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-05",,,"15.0",",,R","2.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-06",,,"14.7",",,R","0.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-07",,,"7.8",",,R","-2.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-08",,,"3.9",",,R","-3.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-09",,,"1.8",",,R","-0.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-10",,,"3.4",",,R","-4.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-11",,,"4.0",",,R","-3.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-12",,,"10.3",",,R","-1.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-13",,,"0.4",",,R","-6.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-14",,,"-2.0",",,R","-8.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-15",,,"-3.5",",,R","-15.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-16",,,"1.5",",,R","-14.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-17",,,"-0.9",",,R","-14.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-18",,,"2.4",",,R","-4.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-19",,,"11.0",",,R","-0.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-20",,,"9.6",",,R","-2.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-21",,,"2.9",",,R","-6.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-22",,,"0.6",",,R","-4.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-23",,,"12.7",",,R","-1.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-24",,,"5.4",",,R","0.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-25",,,"3.7",",,R","-2.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-26",,,"-2.1",",,R","-8.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-27",,,"-5.6",",,R","-12.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-28",,,"-10.0",",,R","-14.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-29",,,"-8.6",",,R","-15.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-30",,,"-7.3",",,R","-16.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2017-12-31",,,"-9.9",",,R","-16.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-01",,,"-10.5",",,R","-20.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-02",,,"-7.3",",,R","-20.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-03",,,"-2.4",",,R","-17.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-04",,,"0.0",",,R","-5.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-05",,,"-5.4",",,R","-14.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-06",,,"-10.7",",,R","-16.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-07",,,"-6.1",",,R","-20.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-08",,,"2.2",",,R","-6.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-09",,,"4.9",",,R","-4.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-10",,,"1.9",",,R","-12.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-11",,,"10.4",",,R","-3.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-12",,,"16.0",",,R","9.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-13",,,"15.8",",,R","-5.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-14",,,"-3.6",",,R","-9.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-15",,,"-4.7",",,R","-9.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-16",,,"2.7",",,R","-6.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-17",,,"1.8",",,R","0.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-18",,,"1.5",",,R","-6.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-19",,,"2.2",",,R","-7.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-20",,,"10.6",",,R","-5.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-21",,,"9.5",",,R","-2.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-22",,,"4.5",",,R","-1.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-23",,,"13.7",",,R","2.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-24",,,"6.1",",,R","-4.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-25",,,"-0.5",",,R","-7.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-26",,,"1.8",",,R","-8.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-27",,,"9.6",",,R","-7.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-28",,,"9.7",",,R","1.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-29",,,"4.5",",,R","-1.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-30",,,"-0.3",",,R","-5.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-01-31",,,"1.0",",,R","-13.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-01",,,"5.4",",,R","-4.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-02",,,"2.1",",,R","-11.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-03",,,"-1.3",",,R","-12.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-04",,,"8.9",",,R","-3.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-05",,,"10.2",",,R","-6.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-06",,,"1.1",",,R","-7.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-07",,,"10.1",",,R","-5.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-08",,,"1.6",",,R","-6.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-09",,,"-0.6",",,R","-8.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-10",,,"10.1",",,R","-3.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-11",,,"12.5",",,R","7.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-12",,,"12.6",",,R","-1.3",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-13",,,"1.3",",,R","-4.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-14",,,"9.2",",,R","-3.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-15",,,"9.2",",,R","1.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-16",,,"13.1",",,R","1.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-17",,,"2.3",",,R","-3.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-18",,,"6.7",",,R","-2.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-19",,,"9.7",",,R","-5.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-20",,,"12.7",",,R","7.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-21",,,"13.1",",,R","8.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-22",,,"13.8",",,R","0.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-23",,,"4.7",",,R","-0.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-24",,,"13.7",",,R","2.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-25",,,"6.2",",,R","3.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-26",,,"10.2",",,R","0.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-27",,,"11.7",",,R","-2.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-02-28",,,"12.1",",,R","2.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-01",,,"16.6",",,R","0.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-02",,,"7.2",",,R","1.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-03",,,"6.7",",,R","1.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-04",,,"6.4",",,R","0.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-05",,,"5.9",",,R","0.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-06",,,"5.0",",,R","-2.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-07",,,"3.9",",,R","-2.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-08",,,"4.1",",,R","0.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-09",,,"4.3",",,R","-2.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-10",,,"5.9",",,R","-1.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-11",,,"7.5",",,R","-2.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-12",,,"6.5",",,R","-3.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-13",,,"1.8",",,R","-1.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-14",,,"3.4",",,R","-2.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-15",,,"5.9",",,R","-0.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-16",,,"3.5",",,R","-2.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-17",,,"7.0",",,R","-4.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-18",,,"2.4",",,R","-7.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-19",,,"4.5",",,R","-5.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-20",,,"3.6",",,R","-7.5",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-21",,,"2.9",",,R","-0.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-22",,,"6.8",",,R","-1.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-23",,,"9.2",",,R","-3.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-24",,,"8.5",",,R","-1.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-25",,,"3.3",",,R","-3.7",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-26",,,"6.2",",,R","-4.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-27",,,"10.1",",,R","-5.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-28",,,"10.9",",,R","2.9",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-29",,,"13.6",",,R","2.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-30",,,"13.4",",,R","8.0",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-03-31",,,"11.6",",,R","3.2",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-04-01",,,"14.1",",,R","1.1",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-04-02",,,"5.0",",,R","-2.4",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-04-03",,,"5.2",",,R","-3.8",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-04-04",,,"12.0",",,R","3.6",",,R",,
"USW00054796","KINGSTON 1 NW, RI US","2018-04-05",,,"6.4",",,R","-3.8",",,R",,
