"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-01",,,,,"7.8",",,U","17.8","H,,U","0.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-02",,,,,"8.9",",,U","17.8","H,,U","2.8","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-03",,,,,"9.7",",,U","14.4","H,,U","2.2","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-04",,,,,"-1.0",",,U","5.0","H,,U","-6.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-05",,,,,"-2.9",",,U","7.2","H,,U","-10.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-06",,,,,"-2.9",",,U","7.2","H,,U","-10.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-07",,,,,"-3.1",",,U","3.9","H,,U","-10.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-08",,,,,"0.1",",,U","11.1","H,,U","-10.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-09",,,,,"0.0",",,U","11.7","H,,U","-7.8","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-10",,,,,"-1.2",",,U","10.6","H,,U","-9.4","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-11",,,,,"0.0",",,U","11.7","H,,U","-9.4","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-12",,,,,"2.2",",,U","13.9","H,,U","-6.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-13",,,,,"2.8",",,U","12.8","H,,U","-7.2","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-14",,,,,"3.2",",,U","10.0","H,,U","-4.4","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-15",,,,,"-0.7",",,U","10.0","H,,U","-8.9","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-16",,,,,"-0.2",",,U","7.2","H,,U","-6.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-17",,,,,"-1.1",",,U","7.8","H,,U","-7.2","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-18",,,,,"-2.1",",,U","7.8","H,,U","-10.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-19",,,,,"-0.5",",,U","9.4","H,,U","-8.3","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-20",,,,,"4.3",",,U","11.1","H,,U","-4.4","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-21",,,,,"0.7",",,U","7.2","H,,U","-4.4","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-22",,,,,"-3.2",",,U","5.6","H,,U","-10.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-23",,,,,"1.1",",,U","8.9","H,,U","-6.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-24",,,,,"0.0",",,U","7.8","H,,U","-5.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-25",,,,,"4.0",",,U","12.2","H,,U","-1.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-26",,,,,"0.8",",,U","10.6","H,,U","-5.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-27",,,,,"1.9",",,U","13.9","H,,U","-6.7","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-28",,,,,"2.8",",,U","15.0","H,,U","-5.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-29",,,,,"2.4",",,U","13.9","H,,U","-5.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-30",,,,,"5.1",",,U","16.1","H,,U","-2.8","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2017-12-31",,,,,"4.2",",,U","12.8","H,,U","0.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-01",,,,,"1.1",",,U","10.0","H,,U","-5.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-02",,,,,"-0.6",",,U","9.4","H,,U","-7.8","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-03",,,,,"-2.6",",,U","8.3","H,,U","-11.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-04",,,,,"-1.7",",,U","9.4","H,,U","-10.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-05",,,,,"-1.7",",,U","6.1","H,,U","-7.8","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-06",,,,,"0.8",",,U","6.7","H,,U","-4.4","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-07",,,,,"2.3",",,U","9.4","H,,U","-2.2","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-08",,,,,"1.4",",,U","8.3","H,,U","-5.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-09",,,,,"3.7",",,U","8.3","H,,U","0.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-10",,,,,"3.3",",,U","6.1","H,,U","0.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-11",,,,,"0.4",",,U","6.1","H,,U","-3.3","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-12",,,,,"1.0",",,U","9.4","H,,U","-5.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-13",,,,,"0.8",",,U","8.3","H,,U","-5.0","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-14",,,,,"1.2",",,U","10.0","H,,U","-5.6","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-15",,,,,"1.0",",,U","10.6","H,,U","-6.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-16",,,,,"-0.8",",,U","7.2","H,,U","-7.8","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-17",,,,,"-0.8",",,U","8.9","H,,U","-8.3","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-18",,,,,"0.9",",,U","11.7","H,,U","-7.2","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-19",,,,,"5.3",",,U","16.1","H,,U","-3.3","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-20",,,,,"6.4",",,U","11.7","H,,U","1.1","H,,U"
"USR0000CNUC","NUCLA COLORADO, CO US","2018-01-21",,,,,"-3.5",",,U","1.1","H,,U","-10.6","H,,U"
