"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-01",,,"13.3",",,W","0.0",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-02",,,"12.8",",,W","-1.0",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-03",,,"13.9",",,W","0.6",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-04",,,"13.3",",,W","-1.6",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-05",,,"21.1",",,W","4.4",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-06",,,"16.7",",,W","3.9",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-07",,,"9.4",",,W","1.1",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-08",,,"5.6",",,W","0.0",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-09",,,"1.1",",,W","-0.5",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-10",,,"4.4",",,W","-2.7",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-11",,,"7.8",",,W","-2.1",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-12",,,"10.0",",,W","-2.1",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-13",,,"0.0",",,W","-4.9",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-14",,,"7.2",",,W","-4.3",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-15",,,"1.7",",,W","-5.5",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-16",,,"7.2",",,W","-6.0",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-17",,,"10.0",",,W","-3.2",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-18",,,"12.8",",,W","4.4",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-19",,,"16.1",",,W","1.1",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-20",,,"11.7",",,W","-2.1",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-21",,,"7.2",",,W","-3.2",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-22",,,"15.6",",,W","-3.2",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-23",,,"18.9",",,W","8.3",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-24",,,"9.4",",,W","5.0",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-25",,,"6.1",",,W","0.0",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-26",,,"3.3",",,W","-3.2",",,W",,
"USW00013764","GEORGETOWN SUSSEX CO AIRPORT, DE US","2017-12-27",,,"-0.5",",,W","-6.6",",,W",,
