DATE,TMIN,TMAX
2017-12-01,3.0749999999999997,12.350000000000001
2017-12-02,-0.9000000000000001,10.725000000000001
2017-12-03,1.0,12.225000000000001
2017-12-04,-1.05,11.250000000000002
2017-12-05,5.275,17.625
2017-12-06,3.5999999999999996,14.875
2017-12-07,1.25,8.325000000000001
2017-12-08,0.275,4.45
2017-12-09,-1.9000000000000001,2.0999999999999996
2017-12-10,-3.4000000000000004,3.725
2017-12-11,-0.225,6.675
2017-12-12,-3.425,8.35
2017-12-13,-6.35,2.925
2017-12-14,-4.375,4.175
2017-12-15,-6.7749999999999995,0.04999999999999993
2017-12-16,-7.175,5.824999999999999
2017-12-17,-2.9749999999999996,7.75
2017-12-18,1.8,11.4
2017-12-19,3.0749999999999997,14.850000000000001
2017-12-20,0.9,11.95
2017-12-21,-3.2750000000000004,6.375
2017-12-22,-2.3,11.525
2017-12-23,5.25,16.8
2017-12-24,2.4999999999999996,7.074999999999999
2017-12-25,-1.225,4.574999999999999
2017-12-26,-3.4000000000000004,1.375
2017-12-27,-7.325,-1.625
2017-12-28,-11.05,-3.975
2017-12-29,-11.75,-2.6
2017-12-30,-9.524999999999999,-1.6
2017-12-31,-11.725000000000001,-5.1
2018-01-01,-13.266666666666666,-5.666666666666667
2018-01-02,-11.433333333333332,-3.4333333333333336
2018-01-03,-14.0,0.5666666666666668
2018-01-04,-7.866666666666667,-1.7666666666666668
2018-01-05,-11.6,-6.3999999999999995
2018-01-06,-13.466666666666669,-8.466666666666667
2018-01-07,-17.366666666666667,-7.533333333333334
2018-01-08,-11.966666666666667,2.5999999999999996
2018-01-09,-3.266666666666667,8.333333333333334
2018-01-10,-4.733333333333333,7.233333333333334
2018-01-11,2.9333333333333336,15.933333333333332
2018-01-12,9.633333333333335,18.53333333333333
2018-01-13,-3.233333333333333,16.099999999999998
2018-01-14,-9.966666666666667,-1.7666666666666668
2018-01-15,-8.633333333333335,0.1666666666666667
