"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00097171","PRIDGEN, GA US","2017-12-01",,"76","40","60"
"USC00097171","PRIDGEN, GA US","2017-12-02",,"76","54","57"
"USC00097171","PRIDGEN, GA US","2017-12-03",,"76","51","55"
"USC00097171","PRIDGEN, GA US","2017-12-04",,"58","47","50"
"USC00097171","PRIDGEN, GA US","2017-12-05",,"70","48","57"
"USC00097171","PRIDGEN, GA US","2017-12-06",,"76","56","64"
"USC00097171","PRIDGEN, GA US","2017-12-07",,"65","41","42"
"USC00097171","PRIDGEN, GA US","2017-12-08",,"48","42","42"
"USC00097171","PRIDGEN, GA US","2017-12-09",,"48","41","41"
"USC00097171","PRIDGEN, GA US","2017-12-10",,"48","30","30"
"USC00097171","PRIDGEN, GA US","2017-12-11",,"49","29","29"
"USC00097171","PRIDGEN, GA US","2017-12-12",,"61","29","42"
"USC00097171","PRIDGEN, GA US","2017-12-13",,"59","34","34"
"USC00097171","PRIDGEN, GA US","2017-12-14",,"52","32","40"
"USC00097171","PRIDGEN, GA US","2017-12-15",,"62","32","39"
"USC00097171","PRIDGEN, GA US","2017-12-16",,"55","32","32"
"USC00097171","PRIDGEN, GA US","2017-12-17",,"56","32","37"
"USC00097171","PRIDGEN, GA US","2017-12-18",,"70","37","59"
"USC00097171","PRIDGEN, GA US","2017-12-19",,"69","58","61"
"USC00097171","PRIDGEN, GA US","2017-12-20",,"70","58","60"
"USC00097171","PRIDGEN, GA US","2017-12-21",,"74","60","60"
"USC00097171","PRIDGEN, GA US","2017-12-22",,"61","55","55"
"USC00097171","PRIDGEN, GA US","2017-12-23",,"62","54","56"
"USC00097171","PRIDGEN, GA US","2017-12-24",,"75","56","62"
"USC00097171","PRIDGEN, GA US","2017-12-25",,"71","38","38"
"USC00097171","PRIDGEN, GA US","2017-12-27",,"54","30","44"
"USC00097171","PRIDGEN, GA US","2017-12-28",,"47","41","42"
"USC00097171","PRIDGEN, GA US","2017-12-29",,"45","36","36"
"USC00097171","PRIDGEN, GA US","2017-12-30",,"50","30","30"
"USC00097171","PRIDGEN, GA US","2017-12-31",,"55","30","34"
"USC00097171","PRIDGEN, GA US","2018-01-01",,"47","34","35"
"USC00097171","PRIDGEN, GA US","2018-01-02",,"47","18","18"
"USC00097171","PRIDGEN, GA US","2018-01-03",,"37","18","25"
"USC00097171","PRIDGEN, GA US","2018-01-04",,"38","23","26"
"USC00097171","PRIDGEN, GA US","2018-01-05",,"43","21","21"
"USC00097171","PRIDGEN, GA US","2018-01-06",,"44","21","24"
"USC00097171","PRIDGEN, GA US","2018-01-07",,"47","24","26"
"USC00097171","PRIDGEN, GA US","2018-01-08",,"49","23","31"
"USC00097171","PRIDGEN, GA US","2018-01-09",,"62","29","53"
"USC00097171","PRIDGEN, GA US","2018-01-10",,"66","51","54"
"USC00097171","PRIDGEN, GA US","2018-01-11",,"71","54","62"
"USC00097171","PRIDGEN, GA US","2018-01-12",,"73","62","64"
"USC00097171","PRIDGEN, GA US","2018-01-13",,"64","35","35"
"USC00097171","PRIDGEN, GA US","2018-01-14",,"43","25","25"
"USC00097171","PRIDGEN, GA US","2018-01-15",,"47","25","28"
"USC00097171","PRIDGEN, GA US","2018-01-16",,"51","27","28"
"USC00097171","PRIDGEN, GA US","2018-01-17",,"58","27","41"
"USC00097171","PRIDGEN, GA US","2018-01-18",,"41","20","20"
"USC00097171","PRIDGEN, GA US","2018-01-19",,"47",,"25"
"USC00097171","PRIDGEN, GA US","2018-01-20",,"58","24","30"
"USC00097171","PRIDGEN, GA US","2018-01-21",,"60","30","42"
"USC00097171","PRIDGEN, GA US","2018-01-22",,"68","38","47"
"USC00097171","PRIDGEN, GA US","2018-01-23",,"75","47","63"
"USC00097171","PRIDGEN, GA US","2018-01-24",,"67","35","35"
"USC00097171","PRIDGEN, GA US","2018-01-25",,"56","32","32"
"USC00097171","PRIDGEN, GA US","2018-01-26",,"59","31","36"
"USC00097171","PRIDGEN, GA US","2018-01-27",,"65","31","50"
"USC00097171","PRIDGEN, GA US","2018-01-28",,"68","49","56"
"USC00097171","PRIDGEN, GA US","2018-01-29",,"68","49","56"
"USC00097171","PRIDGEN, GA US","2018-01-30",,"65","36","36"
"USC00097171","PRIDGEN, GA US","2018-01-31",,"51","29","29"
"USC00097171","PRIDGEN, GA US","2018-02-01",,"57","28","35"
"USC00097171","PRIDGEN, GA US","2018-02-02",,"66","34","51"
"USC00097171","PRIDGEN, GA US","2018-02-03",,"66","31","31"
"USC00097171","PRIDGEN, GA US","2018-02-04",,"56","31","52"
"USC00097171","PRIDGEN, GA US","2018-02-05",,"67","41","41"
"USC00097171","PRIDGEN, GA US","2018-02-06",,"63","39","39"
"USC00097171","PRIDGEN, GA US","2018-02-07",,"73","30","61"
"USC00097171","PRIDGEN, GA US","2018-02-08",,"70","48","48"
"USC00097171","PRIDGEN, GA US","2018-02-09",,"64","46","46"
"USC00097171","PRIDGEN, GA US","2018-02-10",,"54","46","54"
"USC00097171","PRIDGEN, GA US","2018-02-11",,"75","54","65"
"USC00097171","PRIDGEN, GA US","2018-02-12",,"69","61","61"
"USC00097171","PRIDGEN, GA US","2018-02-13",,"67","58","61"
"USC00097171","PRIDGEN, GA US","2018-02-14",,"62","49","49"
"USC00097171","PRIDGEN, GA US","2018-02-15",,"64","49","59"
"USC00097171","PRIDGEN, GA US","2018-02-16",,"77","59","63"
"USC00097171","PRIDGEN, GA US","2018-02-17",,"79","58","60"
"USC00097171","PRIDGEN, GA US","2018-02-18",,"74","60","63"
"USC00097171","PRIDGEN, GA US","2018-02-19",,"74","61","61"
"USC00097171","PRIDGEN, GA US","2018-02-20",,"78","61","65"
"USC00097171","PRIDGEN, GA US","2018-02-21",,"80","65","69"
"USC00097171","PRIDGEN, GA US","2018-02-22",,"83","67","67"
"USC00097171","PRIDGEN, GA US","2018-02-23",,"79","58","59"
"USC00097171","PRIDGEN, GA US","2018-02-24",,"80","59","61"
"USC00097171","PRIDGEN, GA US","2018-02-25",,"82","59","63"
"USC00097171","PRIDGEN, GA US","2018-02-26",,"74","57","58"
"USC00097171","PRIDGEN, GA US","2018-02-27",,"64","51","54"
"USC00097171","PRIDGEN, GA US","2018-02-28",,"57","48","51"
"USC00097171","PRIDGEN, GA US","2018-03-01",,"75","50","65"
"USC00097171","PRIDGEN, GA US","2018-03-02",,"77","49","49"
"USC00097171","PRIDGEN, GA US","2018-03-03",,"69","39","39"
"USC00097171","PRIDGEN, GA US","2018-03-04",,"67","37","37"
"USC00097171","PRIDGEN, GA US","2018-03-05",,"64","36","38"
"USC00097171","PRIDGEN, GA US","2018-03-06",,"67","38","48"
"USC00097171","PRIDGEN, GA US","2018-03-07",,"65","44","45"
"USC00097171","PRIDGEN, GA US","2018-03-08",,"65","32","32"
"USC00097171","PRIDGEN, GA US","2018-03-09",,"65","31","31"
"USC00097171","PRIDGEN, GA US","2018-03-11",,"67","30","41"
"USC00097171","PRIDGEN, GA US","2018-03-12",,"69","30","54"
"USC00097171","PRIDGEN, GA US","2018-03-13",,"55","33","33"
"USC00097171","PRIDGEN, GA US","2018-03-14",,"58","32","37"
"USC00097171","PRIDGEN, GA US","2018-03-15",,"57","31","31"
"USC00097171","PRIDGEN, GA US","2018-03-16",,"66","30","39"
"USC00097171","PRIDGEN, GA US","2018-03-17",,"73","39","53"
"USC00097171","PRIDGEN, GA US","2018-03-18",,"77","53","62"
"USC00097171","PRIDGEN, GA US","2018-03-19",,"81","60","60"
"USC00097171","PRIDGEN, GA US","2018-03-20",,"67","60","60"
"USC00097171","PRIDGEN, GA US","2018-03-21",,"79","48","48"
"USC00097171","PRIDGEN, GA US","2018-03-22",,"58","37","37"
"USC00097171","PRIDGEN, GA US","2018-03-23",,"62","36","37"
"USC00097171","PRIDGEN, GA US","2018-03-24",,"67","36","48"
"USC00097171","PRIDGEN, GA US","2018-03-25",,"77","44","62"
"USC00097171","PRIDGEN, GA US","2018-03-26",,"75","45","45"
"USC00097171","PRIDGEN, GA US","2018-03-27",,"51","44","51"
"USC00097171","PRIDGEN, GA US","2018-03-28",,"71","50","53"
"USC00097171","PRIDGEN, GA US","2018-03-29",,"78","53","53"
"USC00097171","PRIDGEN, GA US","2018-03-30",,"79","53","69"
"USC00097171","PRIDGEN, GA US","2018-03-31",,"69","48","48"
"USC00097171","PRIDGEN, GA US","2018-04-01",,"69","47","49"
"USC00097171","PRIDGEN, GA US","2018-04-02",,"76","48","55"
"USC00097171","PRIDGEN, GA US","2018-04-03",,"79","52","55"
"USC00097171","PRIDGEN, GA US","2018-04-04",,"84","54","61"
"USC00097171","PRIDGEN, GA US","2018-04-05",,"72","40","40"
"USC00097171","PRIDGEN, GA US","2018-04-06",,"70","40","47"
"USC00097171","PRIDGEN, GA US","2018-04-07",,"78","46","62"
"USC00097171","PRIDGEN, GA US","2018-04-08",,"68","47","47"
"USC00097171","PRIDGEN, GA US","2018-04-09",,"68","46","52"
"USC00097171","PRIDGEN, GA US","2018-04-10",,"59","52","52"
"USC00097171","PRIDGEN, GA US","2018-04-11",,"63","46","46"
"USC00097171","PRIDGEN, GA US","2018-04-12",,"72","44","47"
"USC00097171","PRIDGEN, GA US","2018-04-13",,"75","47","53"
"USC00097171","PRIDGEN, GA US","2018-04-14",,"81","53","62"
"USC00097171","PRIDGEN, GA US","2018-04-15",,"84","59","66"
"USC00097171","PRIDGEN, GA US","2018-04-16",,"72","44","44"
"USC00097171","PRIDGEN, GA US","2018-04-17",,"62","41","41"
"USC00097171","PRIDGEN, GA US","2018-04-18",,"73","40","50"
"USC00097171","PRIDGEN, GA US","2018-04-19",,"83","49","63"
"USC00097171","PRIDGEN, GA US","2018-04-20",,"81","47","47"
"USC00097171","PRIDGEN, GA US","2018-04-21",,"68","47","50"
"USC00097171","PRIDGEN, GA US","2018-04-22",,"69","49","59"
"USC00097171","PRIDGEN, GA US","2018-04-24",,"80","57","57"
"USC00097171","PRIDGEN, GA US","2018-04-25",,"74","56","56"
