"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00516122","MANOA 712.1, HI US","2017-12-01","12.4",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-02","19.1",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-03","14.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-04","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-05","0.3",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-06","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-07","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-08","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-09","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-10","0.8",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-11","0.0","T,,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-12","3.6",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-13","3.3",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-14","3.6",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-15","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-16","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-17","2.5",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-18","1.3",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-19","1.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-20","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-21","11.2",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-22","0.3",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-23","1.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-24","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-25","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-26","11.7",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-27","111.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-28","6.4",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-29","1.3",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-30","1.5",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2017-12-31","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2018-01-01","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2018-01-02","0.5",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2018-01-03","0.0",",,7,0800",,,,,,,,,,
"USC00516122","MANOA 712.1, HI US","2018-01-04","0.0",",,7,0800",,,,,,,,,,
