"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-01","7.1",",,U","22.2","H,,U","-1.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-02","6.7",",,U","16.7","H,,U","-1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-03","11.5",",,U","23.9","H,,U","-1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-04","7.2",",,U","13.3","H,,U","-1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-05","0.4",",,U","9.4","H,,U","-7.2","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-06","-0.8",",,U","7.2","H,,U","-6.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-07","-4.3",",,U","4.4","H,,U","-11.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-08","4.6",",,U","11.1","H,,U","-1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-09","5.8",",,U","15.0","H,,U","-1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-10","7.3",",,U","19.4","H,,U","-3.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-11","5.6",",,U","16.7","H,,U","-3.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-12","5.7",",,U","19.4","H,,U","-6.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-13","7.7",",,U","16.1","H,,U","2.2","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-14","1.7",",,U","7.2","H,,U","-5.0","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-15","1.8",",,U","15.6","H,,U","-8.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-16","4.9",",,U","16.1","H,,U","-3.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-17","1.1",",,U","7.2","H,,U","-3.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-18","5.4",",,U","20.0","H,,U","-7.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-19","3.2",",,U","12.8","H,,U","-4.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-20","5.6",",,U","18.3","H,,U","-7.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-21","-0.4",",,U","7.8","H,,U","-5.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-22","-4.0",",,U","5.6","H,,U","-11.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-23","-4.1",",,U","6.1","H,,U","-11.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-24","-5.3",",,U","-0.6","H,,U","-13.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-25","-1.5",",,U","8.3","H,,U","-11.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-26","-13.2",",,U","-12.2","H,,U","-14.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-27","-8.9",",,U","-5.0","H,,U","-13.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-28","-2.9",",,U","10.6","H,,U","-12.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-29","2.8",",,U","21.7","H,,U","-7.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-30","-11.0",",,U","-8.3","H,,U","-13.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2017-12-31","-12.1",",,U","-8.3","H,,U","-16.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-01","-12.9",",,U","-5.0","H,,U","-19.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-02","-8.6",",,U","2.2","H,,U","-17.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-03","0.7",",,U","11.1","H,,U","-8.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-04","0.2",",,U","12.8","H,,U","-11.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-05","1.7",",,U","13.3","H,,U","-7.2","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-06","2.3",",,U","13.3","H,,U","-7.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-07","5.3",",,U","13.3","H,,U","-2.2","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-08","4.6",",,U","15.6","H,,U","-4.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-09","11.7",",,U","22.8","H,,U","5.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-10","13.7",",,U","22.8","H,,U","5.0","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-11","-1.3",",,U","5.6","H,,U","-7.2","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-12","-2.9",",,U","8.9","H,,U","-10.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-13","-3.1",",,U","10.0","H,,U","-11.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-14","2.6",",,U","13.3","H,,U","-8.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-15","-6.1",",,U","0.0","H,,U","-16.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-16","-11.4",",,U","-1.1","H,,U","-19.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-17","-3.3",",,U","11.7","H,,U","-15.0","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-18","3.3",",,U","18.3","H,,U","-8.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-19","9.6",",,U","26.7","H,,U","-3.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-20","12.1",",,U","25.6","H,,U","1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-21","-0.3",",,U","1.7","H,,U","-2.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-22","-0.2",",,U","6.7","H,,U","-6.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-23","-1.4",",,U","9.4","H,,U","-8.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-24","3.0",",,U","17.2","H,,U","-9.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-25","8.1",",,U","19.4","H,,U","-1.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-26","5.1",",,U","17.2","H,,U","-5.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-27","1.2",",,U","12.2","H,,U","-9.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-28","3.2",",,U","15.0","H,,U","-5.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-29","3.3",",,U","16.1","H,,U","-7.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-30","9.7",",,U","24.4","H,,U","-1.1","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-01-31","4.6",",,U","10.6","H,,U","-1.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-01","0.6",",,U","6.1","H,,U","-4.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-02","2.9",",,U","11.1","H,,U","-5.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-03","7.1",",,U","19.4","H,,U","-5.0","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-04","-5.7",",,U","1.1","H,,U","-10.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-05","1.6",",,U","17.2","H,,U","-8.9","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-06","-6.2",",,U","0.6","H,,U","-10.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-07","0.0",",,U","12.2","H,,U","-9.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-08","7.0",",,U","20.6","H,,U","-5.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-09","-2.2",",,U","7.2","H,,U","-9.4","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-10","-10.1",",,U","-8.9","H,,U","-11.7","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-11","-2.9",",,U","7.2","H,,U","-12.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-12","0.3",",,U","8.9","H,,U","-8.3","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-13","8.2",",,U","22.8","H,,U","-2.8","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-14","13.6",",,U","24.4","H,,U","2.2","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-15","12.3",",,U","22.8","H,,U","0.6","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-16","0.7",",,U","5.0","H,,U","-5.0","H,,U",,
"USR0000KCIM","CIMARRON KANSAS, KS US","2018-02-17","6.7",",,U","14.4","H,,U","-0.6","H,,U",,
