"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00153994","HOPKINSVILLE, KY US","2017-12-01",,,"12.8",",,7","-0.6",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-02",,,"16.1",",,7","3.3",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-03",,,"17.8",",,7","2.2",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-04",,,"20.0",",,7","8.3",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-05",,,"16.1",",,7","-0.6",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-06",,,"7.8",",,7","-1.7",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-07",,,"2.2",",,7","-3.3",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-08",,,"1.1",",,7","-5.0",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-09",,,"1.1",",,7","-5.6",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-10",,,"8.9",",,7","-6.1",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-11",,,"15.0",",,7","-2.2",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-12",,,"8.3",",,7","-4.4",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-13",,,"10.0",",,7","-6.1",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-14",,,"5.0",",,7","-0.6",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-15",,,"5.6",",,7","-1.1",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-16",,,"11.1",",,7","0.0",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-17",,,"7.2",",,7","4.4",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-18",,,"10.6",",,7","6.1",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-19",,,"10.6",",,7","3.9",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-20",,,"10.0",",,7","3.3",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-21",,,"11.7",",,7","1.7",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-22",,,"15.0",",,7","11.7",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-23",,,"13.9",",,7","1.7",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-24",,,"3.9",",,7","-3.3",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-25",,,"-1.1",",,7","-5.0",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-26",,,"2.2",",,7","-5.6",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-27",,,"-5.6",",,7","-11.7",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-28",,,"-1.1",",,7","-12.2",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-29",,,"1.7",",,7","-5.0",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-30",,,"0.6",",,7","-10.6",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2017-12-31",,,"-7.2",",,7","-13.3",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2018-01-01",,,"-8.3",",,7","-16.1",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2018-01-02",,,"-6.7",",,7","-17.8",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2018-01-03",,,"-0.6",",,7","-11.7",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2018-01-04",,,"-6.7",",,7","-13.9",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2018-01-05",,,"-3.9",",,7","-11.1",",,7",,
"USC00153994","HOPKINSVILLE, KY US","2018-01-06",,,"-3.9",",,7","-15.0",",,7",,
