"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00164775","KAPLAN, LA US","2017-12-01","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-02","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-03","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-04","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-05","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-06","79.8",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-07","8.1",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-08","33.3",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-09","3.6",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-10","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-11","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-12","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-13","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-14","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-15","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-16","1.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-17","15.2",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-18","4.1",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-19","2.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-20","12.2",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-21","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-22","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-23","6.1",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-24","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-25","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-26","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-27","20.3",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-28","3.8",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-29","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-30","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2017-12-31","1.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-01","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-02","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-03","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-04","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-05","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-06","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-07","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-08","35.6",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-09","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-10","1.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-11","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-12","16.5",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-13","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-14","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-15","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-16","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-17","2.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-18","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-19","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-20","0.8",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-21","2.5",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-22","6.1",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-23","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-24","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-25","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-26","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-27","6.9",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-28","52.1",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-29","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-30","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-01-31","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-01","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-02","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-03","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-04","1.3",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-05","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-06","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-07","1.5",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-08","18.3",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-09","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-10","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-11","10.7",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-12","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-13","0.5",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-14","1.3",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-15","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-16","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-17","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-18","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-19","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-20","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-21","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-22","5.6",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-23","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-24","2.5",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-25","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-26","22.9",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-27","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-02-28","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-01","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-02","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-03","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-04","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-05","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-06","21.6",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-07","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-08","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-09","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-10","0.0",",,7,0700",,,,,,,,,,
"USC00164775","KAPLAN, LA US","2018-03-11","0.5",",,7,0700",,,,,,,,,,
