"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00170814","BRASSUA DAM, ME US","2017-12-01",,,"6.7",",,7","-10.0",",,7","1.1",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-02",,,"2.8",",,7","-1.7",",,7","-1.7",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-03",,,"0.6",",,7","-7.8",",,7","-3.9",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-04",,,"-0.6",",,7","-3.9",",,7","-3.3",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-05",,,"2.2",",,7","-6.1",",,7","-2.2",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-06",,,"5.6",",,7","-2.2",",,7","2.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-07",,,"2.8",",,7","-3.9",",,7","-1.7",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-08",,,"-0.6",",,7","-6.1",",,7","-3.9",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-09",,,"0.0",",,7","-8.3",",,7","-5.0",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-10",,,"-1.1",",,7","-6.1",",,7","-5.0",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-11",,,"-1.7",",,7","-9.4",",,7","-5.6",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-12",,,"-5.0",",,7","-17.2",",,7","-12.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-13",,,"-3.9",",,7","-12.8",",,7","-9.4",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-14",,,"-7.8",",,7","-17.2",",,7","-17.2",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-15",,,"-13.3",",,7","-17.2",",,7","-16.1",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-16",,,"-8.3",",,7","-16.1",",,7","-12.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-17",,,"-6.7",",,7","-16.1",",,7","-14.4",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-18",,,"-11.7",",,7","-20.0",",,7","-17.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-19",,,"-7.8",",,7","-17.8",",,7","-7.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-20",,,"1.1",",,7","-7.8",",,7","-3.3",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-21",,,"-1.7",",,7","-15.6",",,7","-15.6",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-22",,,"-12.2",",,7","-24.4",",,7","-24.4",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-23",,,"-7.8",",,7","-24.4",",,7","-7.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-24",,,"0.0",",,7","-7.8",",,7","-6.7",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-25",,,"-5.6",",,7","-13.3",",,7","-13.3",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-26",,,"-8.9",",,7","-15.0",",,7","-11.7",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-27",,,"-10.0",",,7","-22.8",",,7","-21.7",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-28",,,"-18.9",",,7","-26.1",",,7","-25.6",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-29",,,"-22.2",",,7","-27.8",",,7","-27.8",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-30",,,"-18.9",",,7","-28.9",",,7","-25.0",",,7,0700"
"USC00170814","BRASSUA DAM, ME US","2017-12-31",,,"-16.7",",,7","-27.8",",,7","-22.8",",,7,0700"
