"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-01","0.0",",,7,2400","0.0",",,7,2400",,,"12.2",",,7","-1.7",",,7","-1.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-02","0.0",",,7,2400","0.0",",,7,2400",,,"10.6",",,7","-3.9",",,7","0.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-03","0.0","T,,7,2400","0.0",",,7,2400",,,"12.8",",,7","-1.7",",,7","-1.1",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-04","0.0",",,7,2400","0.0",",,7,2400",,,"11.7",",,7","-3.3",",,7","8.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-05","8.6",",,7,2400","0.0",",,7,2400",,,"11.1",",,7","7.8",",,7","9.4",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-06","0.0",",,7,2400","0.0",",,7,2400",,,"9.4",",,7","1.1",",,7","3.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-07","0.0",",,7,2400","0.0",",,7,2400",,,"6.7",",,7","1.1",",,7","2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-08","0.0",",,7,2400","0.0",",,7,2400",,,"2.2",",,7","-0.6",",,7","0.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-09","0.3",",,7,2400","5.0",",,7,2400",,,"0.6",",,7","-3.3",",,7","-2.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-10","0.0","T,,7,2400","0.0","T,,7,2400",,,"2.8",",,7","-2.8",",,7","0.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-11","0.0",",,7,2400","0.0",",,7,2400",,,"6.7",",,7","-0.6",",,7","5.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-12","0.0","T,,7,2400","0.0","T,,7,2400",,,"6.7",",,7","-6.7",",,7","-6.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-13","0.3",",,7,2400","5.0",",,7,2400",,,"-1.1",",,7","-7.8",",,7","-1.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-14","0.0","T,,7,2400","0.0","T,,7,2400",,,"1.7",",,7","-3.9",",,7","-3.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-15","0.0","T,,7,2400","0.0","T,,7,2400",,,"0.0",",,7","-5.0",",,7","0.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-16","0.0","T,,7,2400","0.0","T,,7,2400",,,"8.3",",,7","-3.3",",,7","-3.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-17","0.0",",,7,2400","0.0",",,7,2400",,,"7.8",",,7","-5.0",",,7","3.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-18","0.0",",,7,2400","0.0",",,7,2400",,,"10.0",",,7","1.7",",,7","7.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-19","0.0",",,7,2400","0.0",",,7,2400",,,"15.0",",,7","6.1",",,7","10.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-20","0.0",",,7,2400","0.0",",,7,2400",,,"10.6",",,7","-2.2",",,7","-2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-21","0.0",",,7,2400","0.0",",,7,2400",,,"6.7",",,7","-5.0",",,7","2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-22","0.3",",,7,2400","0.0",",,7,2400",,,"7.8",",,7","0.0",",,7","5.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-23","15.7",",,7,2400","0.0",",,7,2400",,,"9.4",",,7","4.4",",,7","4.4",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-24","0.3",",,7,2400","0.0","T,,7,2400",,,"4.4",",,7","1.1",",,7","1.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-25","0.0","T,,7,2400","0.0","T,,7,2400",,,"2.2",",,7","-3.9",",,7","-3.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-26","0.0",",,7,2400","0.0",",,7,2400",,,"0.0",",,7","-6.1",",,7","-2.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-27","0.0","T,,7,2400","0.0","T,,7,2400",,,"-2.8",",,7","-10.6",",,7","-10.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-28","0.0",",,7,2400","0.0",",,7,2400",,,"-5.6",",,7","-12.8",",,7","-12.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-29","0.0",",,7,2400","0.0",",,7,2400",,,"-3.9",",,7","-12.8",",,7","-7.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-30","1.3",",,7,2400","28.0",",,7,2400",,,"-2.2",",,7","-8.3",",,7","-8.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-31","0.0",",,7,2400","0.0",",,7,2400",,,"-8.3",",,7","-12.2",",,7","-12.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-01","0.0",",,7,2400","0.0",",,7,2400",,,"-5.6",",,7","-15.0",",,7","-12.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-02","0.0",",,7,2400","0.0",",,7,2400",,,"-4.4",",,7","-13.3",",,7","-11.1",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-03","0.0",",,7,2400","0.0",",,7,2400",,,"-1.1",",,7","-16.7",",,7","-6.1",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-04","0.0","T,,7,2400","0.0","T,,7,2400",,,"-4.4",",,7","-11.7",",,7","-11.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-05","0.0",",,7,2400","0.0",",,7,2400",,,"-8.9",",,7","-13.9",",,7","-12.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-06","0.0",",,7,2400","0.0",",,7,2400",,,"-9.4",",,7","-15.0",",,7","-13.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-07","0.0",",,7,2400","0.0",",,7,2400",,,"-5.0",",,7","-17.2",",,7","-8.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-08","0.5",",,7,2400","8.0",",,7,2400",,,"-0.6",",,7","-9.4",",,7","-1.1",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-09","0.0",",,7,2400","0.0",",,7,2400",,,"9.4",",,7","-2.8",",,7","-2.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-10","0.0",",,7,2400","0.0",",,7,2400",,,"6.7",",,7","-7.2",",,7","2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-11","0.8",",,7,2400","0.0",",,7,2400",,,"15.0",",,7","-1.1",",,7","14.4",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-12","33.5",",,7,2400","0.0",",,7,2400",,,"20.6",",,7","8.3",",,7","8.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-13","7.4",",,7,2400","0.0","T,,7,2400",,,"8.3",",,7","-9.4",",,7","-9.4",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-14","0.0",",,7,2400","0.0",",,7,2400",,,"-4.4",",,7","-11.7",",,7","-9.4",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-15","0.0",",,7,2400","0.0",",,7,2400",,,"-1.7",",,7","-11.7",",,7","-3.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-16","1.3",",,7,2400","33.0",",,7,2400",,,"0.0",",,7","-3.9",",,7","-2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-17","0.0","T,,7,2400","0.0","T,,7,2400",,,"-2.2",",,7","-11.7",",,7","-11.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-18","0.0",",,7,2400","0.0",",,7,2400",,,"4.4",",,7","-12.8",",,7","0.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-19","0.0",",,7,2400","0.0",",,7,2400",,,"8.9",",,7","-3.3",",,7","-1.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-20","0.0",",,7,2400","0.0",",,7,2400",,,"13.9",",,7","-2.8",",,7","2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-21","0.0","T,,7,2400","0.0",",,7,2400",,,"13.3",",,7","0.0",",,7","10.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-22","0.0","T,,7,2400","0.0",",,7,2400",,,"16.7",",,7","6.1",",,7","12.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-23","35.6",",,7,2400","0.0",",,7,2400",,,"12.8",",,7","6.1",",,7","6.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-24","0.0","T,,7,2400","0.0","T,,7,2400",,,"6.7",",,7","-0.6",",,7","-0.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-25","0.0",",,7,2400","0.0",",,7,2400",,,"3.3",",,7","-5.0",",,7","-5.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-26","0.0",",,7,2400","0.0",",,7,2400",,,"7.8",",,7","-7.2",",,7","-0.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-27","0.0",",,7,2400","0.0",",,7,2400",,,"15.0",",,7","-5.0",",,7","12.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-28","4.1",",,7,2400","0.0",",,7,2400",,,"12.2",",,7","3.9",",,7","3.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-29","0.0",",,7,2400","0.0",",,7,2400",,,"8.3",",,7","-1.1",",,7","-1.1",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-30","1.8",",,7,2400","25.0",",,7,2400",,,"1.1",",,7","-7.8",",,7","-7.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-01-31","0.0",",,7,2400","0.0",",,7,2400",,,"2.8",",,7","-10.6",",,7","2.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-02-01","2.8",",,7,2400","0.0",",,7,2400",,,"8.9",",,7","2.8",",,7","3.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-02-02","0.0","T,,7,2400","0.0","T,,7,2400",,,"3.9",",,7","-8.9",",,7","-8.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-02-03","0.0",",,7,2400","0.0",",,7,2400",,,"1.1",",,7","-11.1",",,7","0.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2018-02-04","19.8",",,7,2400","51.0",",,7,2400",,,"1.1",",,7","-1.7",",,7","-0.6",",,7,2400"
