"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-01",,,"5.0",",,7","-7.2",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-02",,,"7.2",",,7","-9.4",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-03",,,"5.0",",,7","-10.0",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-04",,,"2.8",",,7","-8.3",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-05",,,"-8.3",",,7","-13.3",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-06",,,"-10.6",",,7","-13.3",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-07",,,"-5.0",",,7","-17.8",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-08",,,"-2.2",",,7","-15.0",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-09",,,"-2.8",",,7","-10.0",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-10",,,"0.6",",,7","-11.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-11",,,"0.6",",,7","-7.8",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-12",,,"0.6",",,7","-19.4",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-13",,,"-3.9",",,7","-11.7",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-14",,,"-6.7",",,7","-11.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-15",,,"-5.6",",,7","-10.6",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-16",,,"-2.2",",,7","-7.8",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-17",,,"0.6",",,7","-5.6",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-18",,,"1.1",",,7","-5.0",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-19",,,"-2.8",",,7","-3.3",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-20",,,"-3.3",",,7","-17.2",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-21",,,"-10.6",",,7","-16.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-22",,,"-11.7",",,7","-25.0",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-23",,,"-6.7",",,7","-16.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-24",,,"-16.1",",,7","-22.8",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-25",,,"-22.8",",,7","-26.7",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-26",,,"-23.3",",,7","-28.9",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-27",,,"-16.1",",,7","-31.7",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-28",,,"-12.8",",,7","-32.2",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-29",,,"-19.4",",,7","-26.7",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-30",,,"-20.6",",,7","-26.7",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2017-12-31",,,"-22.8",",,7","-33.3",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-01",,,"-22.8",",,7","-31.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-02",,,"-16.7",",,7","-27.8",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-03",,,"-12.8",",,7","-23.3",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-04",,,"-19.4",",,7","-24.4",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-05",,,"-15.0",",,7","-29.4",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-06",,,"-13.9",",,7","-26.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-07",,,"-10.0",",,7","-13.9",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-08",,,"-1.1",",,7","-11.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-09",,,"-1.1",",,7","-9.4",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-10",,,"2.2",",,7","-1.7",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-11",,,"2.2",",,7","-18.9",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-12",,,"-18.9",",,7","-31.1",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-13",,,"-17.8",",,7","-32.2",",,7",,
"USC00212142","DETROIT LAKES 1 NNE, MN US","2018-01-14",,,"-15.6",",,7","-33.3",",,7",,
