"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-01","0.5",",,7,0700","0.0",",,7",,,"23.3",",,7","5.0",",,7","6.7",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-02","0.0",",,7,0700","0.0",",,7",,,"16.7",",,7","6.7",",,7","12.2",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-03","0.0",",,7,0700","0.0",",,7",,,"21.7",",,7","5.0",",,7","12.2",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-04","0.0",",,7,0700","0.0",",,7",,,"23.3",",,7","5.0",",,7","6.1",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-05","0.0",",,7,0700","0.0",",,7",,,"18.3",",,7","5.0",",,7","18.3",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-06","16.0",",,7,0700","0.0",",,7",,,"21.7",",,7","3.9",",,7","3.9",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-07","4.6",",,7,0700","0.0",",,7",,,"5.6",",,7","3.3",",,7","5.6",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-08",,,"76.0",",,7",,,"5.6",",,7","0.0",",,7","0.0",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-09",,,,,,,,,"-2.2",",,7","1.7",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-10","0.0",",,7,0700","0.0",",,7",,,"8.3",",,7","-5.6",",,7","2.2",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-11","0.0",",,7,0700","0.0",",,7",,,"13.9",",,7","-2.8",",,7","-2.8",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-12","0.0",",,7,0700","0.0",",,7",,,"20.0",",,7","-2.8",",,7","3.3",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-13","0.0",",,7,0700","0.0",",,7",,,"14.4",",,7","-4.4",",,7","-4.4",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-14","0.0",",,7,0700","0.0",",,7",,,"15.6",",,7","-4.4",",,7","0.0",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-15","0.0",",,7,0700","0.0",",,7",,,"12.8",",,7","0.0",",,7","2.2",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-16","0.0",",,7,0700","0.0",",,7",,,"7.2",",,7","-5.6",",,7","6.7",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-17","15.5",",,7,0700","0.0",",,7",,,"14.4",",,7","2.8",",,7","11.7",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-18","0.0",",,7,0700","0.0",",,7",,,"15.6",",,7","7.2",",,7","12.2",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-19","12.7",",,7,0700","0.0",",,7",,,"16.1",",,7","10.6",",,7","13.9",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-20","33.5",",,7,0700","0.0",",,7",,,"21.1",",,7","13.9",",,7","18.3",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-21","0.0",",,7,0700","0.0",",,7",,,"22.8",",,7","10.0",",,7","10.0",",,7,0700"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","2017-12-22","0.3",",,7,0700","0.0",",,7",,,"23.3",",,7","10.0",",,7","22.8",",,7,0700"
