"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00238770","WAVERLY 3 W, MO US","2017-12-01",,,"13.9",",,7","0.0",",,7","0.0",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-02",,,"14.4",",,7","-1.1",",,7","5.6",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-03",,,"16.7",",,7","4.4",",,7","5.6",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-04",,,"20.0",",,7","5.6",",,7","16.7",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-05",,,"21.1",",,7","-1.7",",,7","-1.1",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-06",,,"7.8",",,7","-1.1",",,7","2.8",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-07",,,"8.3",",,7","-7.8",",,7","-7.8",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-08",,,"-1.1",",,7","-7.8",",,7","-7.8",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-09",,,"5.6",",,7","-7.8",",,7","-1.1",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-10",,,"1.7",",,7","-5.6",",,7","-0.6",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-11",,,"12.2",",,7","-0.6",",,7","3.3",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-12",,,"12.2",",,7","-6.7",",,7","-6.7",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-13",,,"3.3",",,7","-6.7",",,7","1.7",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-14",,,"14.4",",,7","-1.1",",,7","-1.1",",,7,0700"
"USC00238770","WAVERLY 3 W, MO US","2017-12-15",,,"2.2",",,7","-1.1",",,7","0.6",",,7,0700"
