"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-01","0.5",",,7,0600","0.0",",,7,0600",,,"4.4",",,7","-7.2",",,7","2.8",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-02","0.0",",,7,0600","0.0",",,7,0600",,,"5.6",",,7","-5.6",",,7","-5.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-03","0.0",",,7,0600","0.0",",,7,0600",,,"2.2",",,7","-5.6",",,7","-4.4",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-04","0.0",",,7,0600","0.0",",,7,0600",,,"3.3",",,7","-5.0",",,7","-3.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-05","0.0",",,7,0600","0.0",",,7,0600",,,"5.0",",,7","-4.4",",,7","-0.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-06","14.5",",,7,0600","0.0",",,7,0600",,,"12.2",",,7","-0.6",",,7","5.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-07","0.0",",,7,0600","0.0",",,7,0600",,,"5.6",",,7","-2.8",",,7","-1.7",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-08","0.0",",,7,0600","0.0",",,7,0600",,,"2.8",",,7","-4.4",",,7","-4.4",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-09","0.0",",,7,0600","0.0",",,7,0600",,,"0.6",",,7","-4.4",",,7","-2.8",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-10","12.7",",,7,0600","152.0",",,7,0600",,,"-0.6",",,7","-5.6",",,7","-1.1",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-11","0.0",",,7,0600","0.0",",,7,0600",,,"-0.6",",,7","-5.0",",,7","-3.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-12","1.3",",,7,0600","25.0",",,7,0600",,,"0.0",",,7","-5.6",",,7","-5.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-13","15.7",",,7,0600","102.0",",,7,0600",,,"-1.7",",,7","-10.6",",,7","-10.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-14","0.0",",,7,0600","0.0",",,7,0600",,,"-8.9",",,7","-10.6",",,7","-10.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-15","0.0",",,7,0600","0.0",",,7,0600",,,"-5.6",",,7","-12.8",",,7","-12.2",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-16","0.0",",,7,0600","0.0",",,7,0600",,,"-4.4",",,7","-12.2",",,7","-5.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-17","0.0",",,7,0600","0.0",",,7,0600",,,"-3.3",",,7","-13.3",",,7","-10.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-18","0.0","T,,7,0600","0.0","T,,7,0600",,,"-5.0",",,7","-12.2",",,7","-8.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-19","0.3",",,7,0600","0.0","T,,7,0600",,,"1.1",",,7","-8.9",",,7","0.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-20","0.0",",,7,0600","0.0",",,7,0600",,,"5.6",",,7","-1.1",",,7","0.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-21","0.0",",,7,0600","0.0",",,7,0600",,,"1.7",",,7","-6.7",",,7","-6.7",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-22","0.3",",,7,0600","5.0",",,7,0600",,,"-2.8",",,7","-9.4",",,7","-8.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-23","11.7",",,7,0600","114.0",",,7,0600",,,"-6.7",",,7","-9.4",",,7","-7.2",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-24","19.6",",,7,0600","0.0",",,7,0600",,,"1.1",",,7","-7.2",",,7","-2.8",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-25","7.1",",,7,0600","102.0",",,7,0600",,,"-1.1",",,7","-9.4",",,7","-8.3",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-26","2.5",",,7,0600","51.0",",,7,0600",,,"-3.3",",,7","-14.4",",,7","-10.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-27","0.0",",,7,0600","0.0",",,7,0600",,,"-7.8",",,7","-17.8",",,7","-17.8",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-28","0.0",",,7,0600","0.0",",,7,0600",,,"-10.0",",,7","-20.0",",,7","-20.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-29","0.0",",,7,0600","0.0",",,7,0600",,,"-15.6",",,7","-23.3",",,7","-17.8",",,7,0600"
