"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00282805","ESTELL MANOR, NJ US","2017-12-01",,,"15.6",",,7","1.7",",,7","3.9",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-02",,,"13.3",",,7","-2.2",",,7","-1.7",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-03",,,"12.8",",,7","-1.7",",,7","2.2",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-04",,,"11.7",",,7","-2.2",",,7","-1.1",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-05",,,"12.8",",,7","-1.1",",,7","12.8",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-06",,,"18.9",",,7","7.8",",,7","7.8",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-07",,,"7.8",",,7","1.1",",,7","1.1",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-08",,,"8.9",",,7","-0.6",",,7","0.0",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-09",,,"3.9",",,7","0.0",",,7","0.0",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-10",,,"0.0",",,7","-3.3",",,7","-3.3",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-11",,,"4.4",",,7","-3.3",",,7","0.6",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-12",,,"7.2",",,7","-1.7",",,7","6.1",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-13",,,"10.6",",,7","-6.1",",,7","-5.6",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-14",,,"1.7",",,7","-5.6",",,7","1.1",",,7,0800"
"USC00282805","ESTELL MANOR, NJ US","2017-12-15",,,"4.4",",,7","-6.1",",,7","-5.6",",,7,0800"
