"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-01","10.2","H,,S","11.7",",,W","6.1",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-02","6.8","H,,S","8.9",",,W","4.4",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-03","7.4","H,,S","8.9",",,W","5.6",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-04","7.5","H,,S","11.1",",,W","4.4",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-05","12.1","H,,S","15.6",",,W","10.0",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-06","10.1","H,,S","15.0",",,W","5.0",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-07","5.9","H,,S","7.8",",,W","4.4",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-08","3.9","H,,S","5.0",",,W","2.2",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-09","1.8","H,,S","2.8",",,W","-0.5",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-10","1.7","H,,S","4.4",",,W","0.0",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-11","3.3","H,,S","6.1",",,W","1.7",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-12","6.9","H,,S","10.6",",,W","0.0",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-13","-1.6","H,,S","0.6",",,W","-5.5",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-14","-2.1","H,,S","0.6",",,W","-4.3",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-15","-3.6","H,,S","-1.0",",,W","-4.9",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-16","-0.6","H,,S","4.4",",,W","-3.8",",,W",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12-17","2.1","H,,S","2.8",",,W","0.6",",,W",,
