"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-01",,,"13.9",",,W","1.7",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-02",,,"17.8",",,W","3.9",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-03",,,"21.7",",,W","4.4",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-04",,,"18.9",",,W","9.4",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-05",,,"16.1",",,W","1.1",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-06",,,"10.6",",,W","1.7",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-07",,,"5.6",",,W","0.0",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-08",,,"3.9",",,W","-3.2",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-09",,,"7.8",",,W","-2.1",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-10",,,"13.3",",,W","-4.3",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-11",,,"20.0",",,W","0.6",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-12",,,"11.1",",,W","-2.1",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-13",,,"14.4",",,W","-3.2",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-14",,,"7.8",",,W","-1.0",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-15",,,"10.0",",,W","-2.7",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-16",,,"12.2",",,W","-1.0",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-17",,,"9.4",",,W","5.6",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-18",,,"12.2",",,W","6.7",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-19",,,"12.2",",,W","7.2",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-20",,,"12.2",",,W","9.4",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-21",,,"12.8",",,W","8.3",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-22",,,"15.0",",,W","6.7",",,W",,
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","2017-12-23",,,"6.7",",,W","1.1",",,W",,
