"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-01","8.3",",,U","17.2","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-02","9.0",",,U","13.9","H,,U","2.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-03","10.3",",,U","16.1","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-04","11.5",",,U","16.1","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-05","13.4",",,U","21.7","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-06","13.9",",,U","21.7","H,,U","6.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-07","12.9",",,U","23.3","H,,U","4.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-08","9.1",",,U","19.4","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-09","9.0",",,U","20.6","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-10","9.1",",,U","22.2","H,,U","0.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-11","9.4",",,U","23.3","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-12","8.1",",,U","20.6","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-13","7.3",",,U","19.4","H,,U","-2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-14","12.7",",,U","19.4","H,,U","4.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-15","8.7",",,U","16.1","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-16","13.4",",,U","17.2","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-17","13.2",",,U","22.2","H,,U","6.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-18","8.2",",,U","17.8","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-19","9.1",",,U","16.7","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-20","8.4",",,U","15.6","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-21","7.7",",,U","15.6","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-22","4.6",",,U","10.0","H,,U","-1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-23","7.2",",,U","13.9","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-24","8.2",",,U","13.3","H,,U","4.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-25","8.7",",,U","17.8","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-26","8.0",",,U","17.2","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-27","7.9",",,U","17.8","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-28","8.2",",,U","17.8","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-29","7.6",",,U","17.2","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-30","8.2",",,U","18.9","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2017-12-31","8.4",",,U","15.6","H,,U","2.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-01","11.8",",,U","21.1","H,,U","6.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-02","11.6",",,U","19.4","H,,U","5.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-03","11.2",",,U","16.1","H,,U","7.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-04","11.2",",,U","13.3","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-05","14.1",",,U","17.2","H,,U","12.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-06","9.9",",,U","17.2","H,,U","3.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-07","7.0",",,U","11.1","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-08","9.2",",,U","10.0","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-09","12.2",",,U","16.1","H,,U","9.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-10","12.1",",,U","18.3","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-11","12.2",",,U","16.1","H,,U","8.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-12","10.8",",,U","18.9","H,,U","5.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-13","8.6",",,U","15.6","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-14","8.2",",,U","12.2","H,,U","3.3","H,,U"
