"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00063420","HAMPTON, CT US","2017-12-01",,,"6.7",",,7","-3.9",",,7","4.4",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-02",,,"10.6",",,7","-3.9",",,7","-2.8",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-03",,,"6.7",",,7","-3.3",",,7","-2.8",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-04",,,"6.1",",,7","-2.8",",,7","-2.2",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-05",,,"9.4",",,7","-2.2",",,7","5.0",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-06",,,"13.3",",,7","5.0",",,7","8.3",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-07",,,"8.3",",,7","-3.9",",,7","-3.3",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-08",,,"7.2",",,7","-3.9",",,7","-3.9",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-09",,,"3.3",",,7","-3.9",",,7","-0.6",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-10",,,"0.0",",,7","-2.2",",,7","-2.2",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-11",,,"2.8",",,7","-2.2",",,7","-1.1",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-12",,,"3.9",",,7","-2.2",",,7","-1.1",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-13",,,"5.0",",,7","-8.3",",,7","-8.3",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-14",,,"-5.0",",,7","-8.3",",,7","-7.2",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-15",,,"-2.2",",,7","-14.4",",,7","-13.9",",,7,0700"
"USC00063420","HAMPTON, CT US","2017-12-16",,,"-5.0",",,7","-13.9",",,7","-8.3",",,7,0700"
