"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00080737","BIG CYPRESS, FL US","2017-12-01",,,"25.6",",,7","16.7",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-02",,,"28.3",",,7","15.0",",,7","17.8",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-03",,,"27.8",",,7","14.4",",,7","16.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-04",,,"27.2",",,7","15.0",",,7","18.9",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-05",,,"28.3",",,7","16.7",",,7","17.8",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-06",,,"27.8",",,7","16.1",",,7","18.3",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-07",,,"28.9",",,7","16.7",",,7","22.8",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-08",,,"29.4",",,7","21.1",",,7","23.3",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-09",,,"29.4",",,7","20.0",",,7","20.0",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-10",,,"20.0",",,7","5.6",",,7","7.2",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-11",,,"14.4",",,7","3.3",",,7","7.2",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-12",,,"17.8",",,7","3.9",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-13",,,"22.8",",,7","6.1",",,7","8.3",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-14",,,"18.3",",,7","4.4",",,7","6.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-15",,,"21.7",",,7","6.1",",,7","8.9",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-16",,,"24.4",",,7","8.9",",,7","10.6",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-17",,,"24.4",",,7","10.6",",,7","16.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-18",,,"27.8",",,7","15.6",",,7","17.2",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-19",,,"28.9",",,7","16.1",",,7","16.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-20",,,"28.9",",,7","14.4",",,7","14.4",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-21",,,"27.8",",,7","13.9",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-22",,,"27.2",",,7","16.7",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-23",,,"27.2",",,7","15.0",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-24",,,"27.2",",,7","13.9",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-25",,,"27.8",",,7","13.9",",,7","13.9",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-26",,,"26.7",",,7","12.8",",,7","16.7",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-27",,,"27.2",",,7","15.0",",,7","16.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-28",,,"28.3",",,7","16.1",",,7","17.2",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-29",,,"27.2",",,7","15.6",",,7","16.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-30",,,"21.1",",,7","12.2",",,7","12.2",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2017-12-31",,,"20.0",",,7","8.9",",,7","12.2",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2018-01-01",,,"22.2",",,7","11.7",",,7","13.3",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2018-01-02",,,"25.0",",,7","10.0",",,7","11.1",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2018-01-03",,,"17.8",",,7","11.1",",,7","13.9",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2018-01-04",,,"14.4",",,7","1.1",",,7","3.9",",,7,0800"
"USC00080737","BIG CYPRESS, FL US","2018-01-05",,,"14.4",",,7","3.3",",,7","6.1",",,7,0800"
