"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-01",,,"29.4",",,7","23.3",",,7","23.3",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-02",,,"30.6",",,7","22.8",",,7","26.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-03",,,"28.9",",,7","19.4",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-04",,,"28.9",",,7","19.4",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-05",,,"28.9",",,7","19.4",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-06",,,"28.3",",,7","17.8",",,7","20.0",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-07",,,"26.7",",,7","18.3",",,7","20.0",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-08",,,"26.7",",,7","18.3",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-09",,,"27.2",",,7","20.6",",,7","27.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-10",,,"27.2",",,7","20.6",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-11",,,"27.2",",,7","20.0",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-12",,,"27.2",",,7","19.4",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-13",,,"27.8",",,7","21.1",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-14",,,"29.4",",,7","19.4",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-15",,,"28.9",",,7","19.4",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-16",,,"28.3",",,7","18.9",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-17",,,"28.3",",,7","18.3",",,7","25.0",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-18",,,"28.3",",,7","18.9",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-19",,,"27.8",",,7","22.8",",,7","25.6",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-20",,,"25.6",",,7","21.7",",,7","23.3",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-21",,,"24.4",",,7","20.0",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-22",,,"27.8",",,7","18.9",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-23",,,"28.9",",,7","18.3",",,7","20.6",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-24",,,"27.2",",,7","17.8",",,7","20.6",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-25",,,"27.2",",,7","18.9",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-26",,,"27.2",",,7","19.4",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-27",,,"27.2",",,7","19.4",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-28",,,"27.2",",,7","19.4",",,7","20.6",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-29",,,"28.3",",,7","20.0",",,7","25.0",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-30",,,"28.3",",,7","19.4",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2017-12-31",,,"27.8",",,7","18.3",",,7","20.6",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-01",,,"27.8",",,7","18.3",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-02",,,"29.4",",,7","18.3",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-03",,,"28.9",",,7","18.3",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-04",,,"28.9",",,7","18.3",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-05",,,"27.2",",,7","18.3",",,7","20.0",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-06",,,"27.8",",,7","20.0",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-07",,,"28.3",",,7","20.6",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-08",,,"28.3",",,7","20.6",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-09",,,"27.8",",,7","20.6",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-10",,,"27.2",",,7","19.4",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-11",,,"27.8",",,7","19.4",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-12",,,"27.8",",,7","18.9",",,7","20.0",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-13",,,"27.2",",,7","19.4",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-14",,,"27.8",",,7","19.4",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-15",,,"28.3",",,7","19.4",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-16",,,"27.2",",,7","20.6",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-17",,,"28.3",",,7","21.7",",,7","24.4",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-18",,,"29.4",",,7","22.8",",,7","23.3",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-19",,,"30.0",",,7","20.6",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-20",,,"27.8",",,7","20.6",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-21",,,"27.8",",,7","20.6",",,7","22.2",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-22",,,"27.2",",,7","20.6",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-23",,,"28.9",",,7","21.7",",,7","23.3",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-24",,,"28.3",",,7","21.1",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-25",,,"28.3",",,7","21.1",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-26",,,"26.1",",,7","21.1",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-27",,,"27.2",",,7","21.7",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-28",,,"27.2",",,7","19.4",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-29",,,"27.8",",,7","18.3",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-30",,,"26.7",",,7","20.6",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-01-31",,,"27.2",",,7","20.6",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-01",,,"28.9",",,7","20.6",",,7","21.1",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-02",,,"28.9",",,7","20.6",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-03",,,"28.3",",,7","21.1",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-04",,,"28.3",",,7","21.1",",,7","21.7",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-05",,,"27.8",",,7","21.7",",,7","22.8",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-06",,,"27.2",",,7","19.4",",,7","19.4",",,7,0800"
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","2018-02-07",,,"27.8",",,7","18.3",",,7","18.3",",,7,0800"
