"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-01",,,"4.4",",,7","-7.2",",,7","2.8",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-02",,,"5.6",",,7","-5.6",",,7","-5.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-03",,,"2.2",",,7","-5.6",",,7","-4.4",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-04",,,"3.3",",,7","-5.0",",,7","-3.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-05",,,"5.0",",,7","-4.4",",,7","-0.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-06",,,"12.2",",,7","-0.6",",,7","5.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-07",,,"5.6",",,7","-2.8",",,7","-1.7",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-08",,,"2.8",",,7","-4.4",",,7","-4.4",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-09",,,"0.6",",,7","-4.4",",,7","-2.8",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-10",,,"-0.6",",,7","-5.6",",,7","-1.1",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-11",,,"-0.6",",,7","-5.0",",,7","-3.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-12",,,"0.0",",,7","-5.6",",,7","-5.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-13",,,"-1.7",",,7","-10.6",",,7","-10.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-14",,,"-8.9",",,7","-10.6",",,7","-10.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-15",,,"-5.6",",,7","-12.8",",,7","-12.2",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-16",,,"-4.4",",,7","-12.2",",,7","-5.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-17",,,"-3.3",",,7","-13.3",",,7","-10.0",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-18",,,"-5.0",",,7","-12.2",",,7","-8.9",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-19",,,"1.1",",,7","-8.9",",,7","0.6",",,7,0600"
"USC00273658","GREENVILLE 1 NNE, NH US","2017-12-20",,,"5.6",",,7","-1.1",",,7","0.6",",,7,0600"
