"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-01","13.9",",,U","23.3","H,,U","7.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-02","14.2",",,U","25.0","H,,U","7.2","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-03","15.3",",,U","22.2","H,,U","8.9","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-04","20.8",",,U","26.7","H,,U","16.7","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-05","16.2",",,U","22.8","H,,U","10.0","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-06","5.7",",,U","9.4","H,,U","4.4","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-07","6.3",",,U","8.3","H,,U","1.1","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-08","1.2",",,U","5.0","H,,U","-1.7","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-09","4.8",",,U","15.6","H,,U","-3.3","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-10","7.1",",,U","18.3","H,,U","-0.6","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-11","10.5",",,U","23.3","H,,U","-0.6","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-12","9.6",",,U","17.8","H,,U","2.2","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-13","6.4",",,U","15.0","H,,U","-2.2","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-14","8.2",",,U","14.4","H,,U","2.2","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-15","7.3",",,U","13.3","H,,U","2.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-16","9.2",",,U","16.7","H,,U","1.1","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-17","12.7",",,U","18.9","H,,U","9.4","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-18","15.8",",,U","18.9","H,,U","12.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-19","20.6",",,U","24.4","H,,U","17.2","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-20","18.1",",,U","25.0","H,,U","11.1","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-21","16.8",",,U","23.3","H,,U","7.2","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-22","22.2",",,U","26.1","H,,U","10.0","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-23","8.0",",,U","13.9","H,,U","3.9","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-24","7.3",",,U","15.0","H,,U","2.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-25","5.4",",,U","12.8","H,,U","0.0","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-26","6.1",",,U","7.8","H,,U","4.4","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-27","4.2",",,U","5.6","H,,U","2.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-28","2.9",",,U","4.4","H,,U","0.6","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-29","6.7",",,U","11.1","H,,U","2.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-30","9.2",",,U","12.2","H,,U","7.8","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2017-12-31","4.9",",,U","7.8","H,,U","-0.6","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2018-01-01","-1.3",",,U","3.9","H,,U","-3.9","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2018-01-02","-1.6",",,U","1.7","H,,U","-5.0","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2018-01-03","0.2",",,U","7.2","H,,U","-3.9","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2018-01-04","2.5",",,U","12.2","H,,U","-3.9","H,,U"
"USR0000TKIR","KIRBYVILLE TEXAS, TX US","2018-01-05","4.6",",,U","14.4","H,,U","-1.7","H,,U"
