"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00442009","CORBIN, VA US","2017-12-01",,,"13.3",",,7","0.6",",,7",,
"USC00442009","CORBIN, VA US","2017-12-02",,,"10.6",",,7","-2.2",",,7",,
"USC00442009","CORBIN, VA US","2017-12-03",,,"13.9",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2017-12-04",,,"13.3",",,7","-1.7",",,7",,
"USC00442009","CORBIN, VA US","2017-12-05",,,"17.8",",,7","4.4",",,7",,
"USC00442009","CORBIN, VA US","2017-12-06",,,"13.3",",,7","4.4",",,7",,
"USC00442009","CORBIN, VA US","2017-12-07",,,"9.4",",,7","1.1",",,7",,
"USC00442009","CORBIN, VA US","2017-12-08",,,"3.9",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2017-12-09",,,"0.6",",,7","-2.2",",,7",,
"USC00442009","CORBIN, VA US","2017-12-10",,,"5.0",",,7","-3.9",",,7",,
"USC00442009","CORBIN, VA US","2017-12-11",,,"10.0",",,7","-2.8",",,7",,
"USC00442009","CORBIN, VA US","2017-12-12",,,"10.0",",,7","-4.4",",,7",,
"USC00442009","CORBIN, VA US","2017-12-13",,,"1.7",",,7","-9.4",",,7",,
"USC00442009","CORBIN, VA US","2017-12-14",,,"7.8",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2017-12-15",,,"-1.1",",,7","-7.2",",,7",,
"USC00442009","CORBIN, VA US","2017-12-16",,,"8.9",",,7","-6.7",",,7",,
"USC00442009","CORBIN, VA US","2017-12-17",,,"9.4",",,7","-3.3",",,7",,
"USC00442009","CORBIN, VA US","2017-12-18",,,"15.6",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2017-12-19",,,"16.7",",,7","0.6",",,7",,
"USC00442009","CORBIN, VA US","2017-12-20",,,"13.9",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2017-12-21",,,"7.8",",,7","-3.3",",,7",,
"USC00442009","CORBIN, VA US","2017-12-22",,,"14.4",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2017-12-23",,,"19.4",",,7","7.2",",,7",,
"USC00442009","CORBIN, VA US","2017-12-24",,,"7.2",",,7","3.3",",,7",,
"USC00442009","CORBIN, VA US","2017-12-25",,,"4.4",",,7","-2.2",",,7",,
"USC00442009","CORBIN, VA US","2017-12-26",,,"2.8",",,7","-2.8",",,7",,
"USC00442009","CORBIN, VA US","2017-12-27",,,"1.7",",,7","-7.8",",,7",,
"USC00442009","CORBIN, VA US","2017-12-28",,,"-4.4",",,7","-11.7",",,7",,
"USC00442009","CORBIN, VA US","2017-12-29",,,"1.1",",,7","-11.7",",,7",,
"USC00442009","CORBIN, VA US","2017-12-30",,,"-2.2",",,7","-6.7",",,7",,
"USC00442009","CORBIN, VA US","2017-12-31",,,"-5.0",",,7","-12.2",",,7",,
"USC00442009","CORBIN, VA US","2018-01-01",,,"-5.0",",,7","-15.6",",,7",,
"USC00442009","CORBIN, VA US","2018-01-02",,,"-3.9",",,7","-16.7",",,7",,
"USC00442009","CORBIN, VA US","2018-01-03",,,"1.1",",,7","-16.1",",,7",,
"USC00442009","CORBIN, VA US","2018-01-04",,,"-3.3",",,7","-10.0",",,7",,
"USC00442009","CORBIN, VA US","2018-01-05",,,"-5.6",",,7","-15.6",",,7",,
"USC00442009","CORBIN, VA US","2018-01-06",,,"-7.2",",,7","-18.3",",,7",,
"USC00442009","CORBIN, VA US","2018-01-07",,,"-5.0",",,7","-18.9",",,7",,
"USC00442009","CORBIN, VA US","2018-01-08",,,"4.4",",,7","-8.9",",,7",,
"USC00442009","CORBIN, VA US","2018-01-09",,,"10.6",",,7","-2.8",",,7",,
"USC00442009","CORBIN, VA US","2018-01-10",,,"5.0",",,7","-3.3",",,7",,
"USC00442009","CORBIN, VA US","2018-01-11",,,"18.3",",,7","2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-01-12",,,"20.6",",,7","15.6",",,7",,
"USC00442009","CORBIN, VA US","2018-01-13",,,"15.6",",,7","-6.7",",,7",,
"USC00442009","CORBIN, VA US","2018-01-14",,,"-3.3",",,7","-9.4",",,7",,
"USC00442009","CORBIN, VA US","2018-01-15",,,"0.6",",,7","-11.1",",,7",,
"USC00442009","CORBIN, VA US","2018-01-16",,,"5.0",",,7","-3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-01-17",,,"1.1",",,7","-7.2",",,7",,
"USC00442009","CORBIN, VA US","2018-01-18",,,"6.1",",,7","-11.7",",,7",,
"USC00442009","CORBIN, VA US","2018-01-19",,,"13.3",",,7","-7.2",",,7",,
"USC00442009","CORBIN, VA US","2018-01-20",,,"16.1",",,7","-1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-01-21",,,"18.9",",,7","-1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-01-22",,,"19.4",",,7","10.6",",,7",,
"USC00442009","CORBIN, VA US","2018-01-23",,,"21.1",",,7","3.3",",,7",,
"USC00442009","CORBIN, VA US","2018-01-24",,,"9.4",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2018-01-25",,,"6.1",",,7","-3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-01-26",,,"11.7",",,7","-6.7",",,7",,
"USC00442009","CORBIN, VA US","2018-01-27",,,"17.2",",,7","1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-01-28",,,"12.8",",,7","8.9",",,7",,
"USC00442009","CORBIN, VA US","2018-01-29",,,"8.9",",,7","1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-01-30",,,"1.7",",,7","-6.1",",,7",,
"USC00442009","CORBIN, VA US","2018-01-31",,,"3.9",",,7","-7.8",",,7",,
"USC00442009","CORBIN, VA US","2018-02-01",,,"13.3",",,7","2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-02-02",,,"6.1",",,7","-8.9",",,7",,
"USC00442009","CORBIN, VA US","2018-02-03",,,"2.2",",,7","-12.8",",,7",,
"USC00442009","CORBIN, VA US","2018-02-04",,,"0.6",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-02-05",,,"3.3",",,7","-3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-02-06",,,"8.3",",,7","-5.0",",,7",,
"USC00442009","CORBIN, VA US","2018-02-07",,,"3.9",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2018-02-08",,,"3.3",",,7","-3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-02-09",,,"10.0",",,7","-5.0",",,7",,
"USC00442009","CORBIN, VA US","2018-02-10",,,"10.6",",,7","2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-02-11",,,"21.1",",,7","10.6",",,7",,
"USC00442009","CORBIN, VA US","2018-02-12",,,"18.3",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2018-02-13",,,"3.9",",,7","-2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-02-14",,,"15.6",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-02-15",,,"23.9",",,7","11.1",",,7",,
"USC00442009","CORBIN, VA US","2018-02-16",,,"20.0",",,7","3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-02-17",,,"5.6",",,7","-0.6",",,7",,
"USC00442009","CORBIN, VA US","2018-02-18",,,"11.7",",,7","1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-02-19",,,"10.0",",,7","2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-02-20",,,"25.6",",,7","10.0",",,7",,
"USC00442009","CORBIN, VA US","2018-02-21",,,"27.2",",,7","15.6",",,7",,
"USC00442009","CORBIN, VA US","2018-02-22",,,"18.9",",,7","6.1",",,7",,
"USC00442009","CORBIN, VA US","2018-02-23",,,"9.4",",,7","4.4",",,7",,
"USC00442009","CORBIN, VA US","2018-02-24",,,"17.2",",,7","8.9",",,7",,
"USC00442009","CORBIN, VA US","2018-02-25",,,"13.3",",,7","8.3",",,7",,
"USC00442009","CORBIN, VA US","2018-02-26",,,"11.1",",,7","1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-02-27",,,"15.0",",,7","-1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-02-28",,,"15.6",",,7","3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-03-01",,,"12.2",",,7","7.8",",,7",,
"USC00442009","CORBIN, VA US","2018-03-02",,,"12.2",",,7","3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-03-03",,,"10.6",",,7","1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-03-04",,,"11.1",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2018-03-05",,,"8.3",",,7","-1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-03-06",,,"7.2",",,7","-4.4",",,7",,
"USC00442009","CORBIN, VA US","2018-03-07",,,"11.1",",,7","1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-03-08",,,"6.7",",,7","-3.3",",,7",,
"USC00442009","CORBIN, VA US","2018-03-09",,,"7.8",",,7","-2.8",",,7",,
"USC00442009","CORBIN, VA US","2018-03-10",,,"7.8",",,7","-4.4",",,7",,
"USC00442009","CORBIN, VA US","2018-03-11",,,"8.3",",,7","-2.8",",,7",,
"USC00442009","CORBIN, VA US","2018-03-12",,,"3.9",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-03-13",,,"8.3",",,7","-7.2",",,7",,
"USC00442009","CORBIN, VA US","2018-03-14",,,"6.1",",,7","-3.9",",,7",,
"USC00442009","CORBIN, VA US","2018-03-15",,,"13.9",",,7","-2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-03-16",,,"8.9",",,7","-3.3",",,7",,
"USC00442009","CORBIN, VA US","2018-03-17",,,"8.3",",,7","-5.6",",,7",,
"USC00442009","CORBIN, VA US","2018-03-18",,,"14.4",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2018-03-19",,,"9.4",",,7","-1.7",",,7",,
"USC00442009","CORBIN, VA US","2018-03-20",,,"6.1",",,7","-0.6",",,7",,
"USC00442009","CORBIN, VA US","2018-03-21",,,"1.1",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-03-22",,,"9.4",",,7","0.0",",,7",,
"USC00442009","CORBIN, VA US","2018-03-23",,,"10.0",",,7","-1.1",",,7",,
"USC00442009","CORBIN, VA US","2018-03-24",,,"9.4",",,7","-2.2",",,7",,
"USC00442009","CORBIN, VA US","2018-03-25",,,"8.9",",,7","-2.8",",,7",,
