"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-03-27","0.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-03-28","1.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-03-29","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-03-30","7.6",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-03-31","3.3",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-01","0.5",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-02","0.5",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-03","1.3",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-04","8.9",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-06","0.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-07","5.1",",,N","13.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-08","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-09","0.0","T,,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-10","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-11","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-12","0.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-13","5.1",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-14","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-15","0.0","T,,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-16","0.0","T,,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-17","12.4",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-18","1.3",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-19","0.0","T,,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-20","4.3",",,N","38.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-21","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-23","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-24","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-25","2.3",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-26","10.9",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-27","1.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-28","7.4",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-29","11.7",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-04-30","10.9",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-01","6.9",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-02","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-03","0.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-04","1.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-05","10.4",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-06","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-07","5.1",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-08","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-09","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-10","0.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-11","1.5",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-12","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-13","1.8",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-15","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-16","3.6",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-17","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-18","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-19","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-20","8.9",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-21","5.1",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-22","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-23","4.8",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-24","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-25","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-26","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-27","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-28","2.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-29","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-30","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-05-31","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-01","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-02","13.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-03","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-04","8.4",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-05","9.7",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-06","2.8",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-07","0.0","T,,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-08","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-09","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-10","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-11","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-13","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-14","0.5",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-15","0.5",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-17","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-18","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-19","15.0",",,N",,,,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-21","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-22","0.0",",,N","0.0",",,N",,,,,,,,
"US1VTBN0010","SOUTH SHAFTSBURY 0.1 W, VT US","2018-06-23","0.0",",,N","0.0",",,N",,,,,,,,
