"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-01","0.0","T,,7,0800","0.0",",,7,0800",,,"12.8",",,7","2.8",",,7","5.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-02","0.0",",,7,0800","0.0",",,7,0800",,,"9.4",",,7","-3.9",",,7","-2.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-03","0.0","T,,7,0800","0.0",",,7,0800",,,"10.6",",,7","-2.8",",,7","3.3",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-04","0.0",",,7,0800","0.0",",,7,0800",,,"11.7",",,7","-2.8",",,7","-2.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-05","0.0",",,7,0800","0.0",",,7,0800",,,"11.1",",,7","-3.3",",,7","7.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-06","10.2",",,7,0800","0.0",",,7,0800",,,"8.9",",,7","0.6",",,7","0.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-07","0.0",",,7,0800","0.0",",,7,0800",,,"6.7",",,7","-3.9",",,7","0.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-08","0.0",",,7,0800","0.0",",,7,0800",,,"6.1",",,7","-1.7",",,7","-1.7",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-09","0.0",",,7,0800","0.0",",,7,0800",,,"6.1",",,7","-4.4",",,7","-2.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-10","0.0",",,7,0800","0.0",",,7,0800",,,"0.0",",,7","-6.1",",,7","-1.1",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-11","0.0",",,7,0800","0.0",",,7,0800",,,"2.2",",,7","-5.0",",,7","1.7",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-12","0.0",",,7,0800","0.0",",,7,0800",,,"6.7",",,7","0.0",",,7","6.1",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-13","0.0",",,7,0800","0.0",",,7,0800",,,"6.1",",,7","-8.9",",,7","-8.9",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-14","0.5",",,7,0800","3.0",",,7,0800",,,"1.7",",,7","-8.9",",,7","0.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-15","0.0",",,7,0800","0.0",",,7,0800",,,"0.0",",,7","-5.6",",,7","-5.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-16","0.0",",,7,0800","0.0",",,7,0800",,,"0.6",",,7","-5.0",",,7","0.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-17","0.0",",,7,0800","0.0",",,7,0800",,,"7.2",",,7","-1.7",",,7","6.1",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-18","0.0",",,7,0800","0.0",",,7,0800",,,"8.3",",,7","2.2",",,7","5.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-19","0.0",",,7,0800","0.0",",,7,0800",,,"10.6",",,7","5.6",",,7","8.9",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-20","0.0",",,7,0800","0.0",",,7,0800",,,"13.3",",,7","5.6",",,7","5.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-21","0.0",",,7,0800","0.0",",,7,0800",,,"7.8",",,7","-6.7",",,7","-6.1",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-22","0.0",",,7,0800","0.0",",,7,0800",,,"5.6",",,7","-6.1",",,7","4.4",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-23","12.7",",,7,0800","0.0",",,7,0800",,,"7.8",",,7","3.9",",,7","4.4",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-24","5.1",",,7,0800","0.0",",,7,0800",,,"9.4",",,7","0.0",",,7","0.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-25","0.0","T,,7,0800",,,,,"3.9",",,7","-3.9",",,7","-3.3",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-26","0.0",",,7,0800","0.0",",,7,0800",,,"3.9",",,7","-6.7",",,7","-5.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-27","0.0","T,,7,0800",,,,,"-5.0",",,7","-9.4",",,7","-7.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-28","0.0",",,7,0800","0.0",",,7,0800",,,"-2.2",",,7","-13.9",",,7","-13.9",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-29","0.0",",,7,0800","0.0",",,7,0800",,,"-8.3",",,7","-14.4",",,7","-14.4",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-30","0.0","T,,7,0800","13.0",",,7,0800",,,"-1.1",",,7","-15.0",",,7","-8.3",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2017-12-31","0.0","T,,7,0800","0.0","T,,7,0800",,,"-5.6",",,7","-15.0",",,7","-12.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-01","0.0","T,,7,0800","0.0",",,7,0800",,,"-8.3",",,7","-15.0",",,7","-8.9",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-02","0.0",",,7,0800","0.0",",,7,0800",,,"-2.8",",,7","-14.4",",,7","-14.4",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-03","0.0",",,7,0800","0.0",",,7,0800",,,"-6.1",",,7","-17.8",",,7","-13.3",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-04","0.0",",,7,0800","0.0",",,7,0800",,,"-2.8",",,7","-17.2",",,7","-7.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-05","0.0",",,7,0800","0.0",",,7,0800",,,"-6.7",",,7","-15.0",",,7","-15.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-06","0.0",",,7,0800","0.0",",,7,0800",,,"-6.7",",,7","-16.1",",,7","-15.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-07","0.0",",,7,0800","0.0",",,7,0800",,,"-7.8",",,7","-17.8",",,7","-17.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-08","0.0",",,7,0800","0.0",",,7,0800",,,"-5.6",",,7","-17.2",",,7","-7.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-09","0.0",",,7,0800","0.0",",,7,0800",,,"6.7",",,7","-7.8",",,7","2.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-10","0.0",",,7,0800","0.0",",,7,0800",,,"7.2",",,7","-5.6",",,7","-2.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-11","0.0",",,7,0800","0.0",",,7,0800",,,"7.8",",,7","-2.2",",,7","-1.1",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-12","7.6",",,7,0800","0.0",",,7,0800",,,"16.7",",,7","-1.7",",,7","13.9",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-13","15.2",",,7,0800","0.0","T,,7,0800",,,"20.0",",,7","-5.6",",,7","-5.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-14","0.0",",,7,0800","0.0",",,7,0800",,,"-4.4",",,7","-12.8",",,7","-12.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-15","0.0",",,7,0800","0.0",",,7,0800",,,"-6.7",",,7","-15.0",",,7","-12.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-16","0.0",",,7,0800","0.0",",,7,0800",,,"-4.4",",,7","-15.0",",,7","-5.6",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-17","0.0","T,,7,0800","0.0","T,,7,0800",,,"-2.8",",,7","-15.0",",,7","-11.1",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-18","0.0",",,7,0800","0.0",",,7,0800",,,"-2.8",",,7","-15.0",",,7","-7.8",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-19","0.0",",,7,0800","0.0",",,7,0800",,,"2.2",",,7","-7.8",",,7","0.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-20","0.0",",,7,0800","0.0",",,7,0800",,,"7.8",",,7","-8.3",",,7","6.7",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-21","0.0",",,7,0800","0.0",",,7,0800",,,"12.8",",,7","6.1",",,7","10.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-22","0.0",",,7,0800","0.0",",,7,0800",,,"13.9",",,7","5.6",",,7","6.7",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-23","9.1",",,7,0800","0.0",",,7,0800",,,"17.8",",,7","6.1",",,7","10.0",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-24","5.1",",,7,0800","0.0",",,7,0800",,,"10.6",",,7","1.7",",,7","2.2",",,7,0800"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","2018-01-25","0.0",",,7,0800","0.0",",,7,0800",,,"2.2",",,7","-3.3",",,7","-2.8",",,7,0800"
