"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00476380","PADDOCK LAKE, WI US","2017-12-01",,,"11.1",",,7","-5.0",",,7","-3.3",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-02",,,"11.1",",,7","-5.0",",,7","2.8",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-03",,,"11.7",",,7","-4.4",",,7","-4.4",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-04",,,"12.2",",,7","-4.4",",,7","12.2",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-05",,,"16.7",",,7","-0.6",",,7","-0.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-06",,,"0.0",",,7","-5.6",",,7","-5.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-07",,,"0.6",",,7","-8.3",",,7","-8.3",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-08",,,"-2.8",",,7","-8.9",",,7","-8.3",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-09",,,"2.8",",,7","-8.9",",,7","-3.9",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-10",,,"-3.9",",,7","-9.4",",,7","-4.4",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-11",,,"-2.2",",,7","-9.4",",,7","-5.0",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-12",,,"0.6",",,7","-10.6",",,7","-10.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-13",,,"0.6",",,7","-10.6",",,7","-5.0",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-14",,,"0.6",",,7","-12.8",",,7","-12.2",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-15",,,"-3.9",",,7","-12.2",",,7","-5.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-16",,,"1.1",",,7","-5.6",",,7","0.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-17",,,"6.7",",,7","-2.2",",,7","0.0",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-18",,,"2.8",",,7","-0.6",",,7","2.8",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-19",,,"5.6",",,7","2.2",",,7","2.8",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-20",,,"8.3",",,7","-4.4",",,7","-4.4",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-21",,,"0.0",",,7","-4.4",",,7","0.0",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-22",,,"3.3",",,7","-0.6",",,7","0.0",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-23",,,"3.3",",,7","-0.6",",,7","0.0",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-24",,,"1.1",",,7","-6.7",",,7","-6.7",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-25",,,"1.1",",,7","-12.2",",,7","-8.9",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-26",,,"-7.2",",,7","-11.1",",,7","-10.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-27",,,"-10.0",",,7","-21.1",",,7","-21.1",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-28",,,"-14.4",",,7","-21.7",",,7","-21.7",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-29",,,"-13.9",",,7","-21.7",",,7","-17.2",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-30",,,"-11.7",",,7","-17.2",",,7","-16.7",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2017-12-31",,,"-10.6",",,7","-19.4",",,7","-19.4",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2018-01-01",,,"-16.7",",,7","-21.7",",,7","-18.3",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2018-01-02",,,"-12.2",",,7","-23.3",",,7","-22.2",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2018-01-03",,,"-11.7",",,7","-22.2",",,7","-11.7",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2018-01-04",,,"-9.4",",,7","-21.1",",,7","-21.1",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2018-01-05",,,"-12.8",",,7","-21.1",",,7","-20.6",",,7,0700"
"USC00476380","PADDOCK LAKE, WI US","2018-01-06",,,"-12.8",",,7","-20.6",",,7","-20.6",",,7,0700"
