"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-01",,,"12.2",",,7","-1.7",",,7","-1.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-02",,,"10.6",",,7","-3.9",",,7","0.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-03",,,"12.8",",,7","-1.7",",,7","-1.1",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-04",,,"11.7",",,7","-3.3",",,7","8.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-05",,,"11.1",",,7","7.8",",,7","9.4",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-06",,,"9.4",",,7","1.1",",,7","3.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-07",,,"6.7",",,7","1.1",",,7","2.2",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-08",,,"2.2",",,7","-0.6",",,7","0.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-09",,,"0.6",",,7","-3.3",",,7","-2.8",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-10",,,"2.8",",,7","-2.8",",,7","0.6",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-11",,,"6.7",",,7","-0.6",",,7","5.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-12",,,"6.7",",,7","-6.7",",,7","-6.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-13",,,"-1.1",",,7","-7.8",",,7","-1.7",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-14",,,"1.7",",,7","-3.9",",,7","-3.9",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-15",,,"0.0",",,7","-5.0",",,7","0.0",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-16",,,"8.3",",,7","-3.3",",,7","-3.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-17",,,"7.8",",,7","-5.0",",,7","3.3",",,7,2400"
"USC00181790","HAGERSTOWN 1 E, MD US","2017-12-18",,,"10.0",",,7","1.7",",,7","7.8",",,7,2400"
