"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-01","15.4",",,U","21.7","H,,U","10.6","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-02","12.8",",,U","15.6","H,,U","10.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-03","13.1",",,U","19.4","H,,U","8.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-04","12.1",",,U","16.7","H,,U","6.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-05","18.1",",,U","22.8","H,,U","13.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-06","14.6",",,U","20.0","H,,U","6.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-07","6.3",",,U","6.7","H,,U","5.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-08","5.3",",,U","6.1","H,,U","4.4","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-09","4.4",",,U","5.0","H,,U","3.9","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-10","2.9",",,U","8.9","H,,U","-1.7","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-11","4.7",",,U","12.8","H,,U","-1.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-12","10.6",",,U","16.7","H,,U","0.6","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-13","3.9",",,U","9.4","H,,U","-2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-14","9.0",",,U","16.1","H,,U","3.9","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-15","9.2",",,U","15.0","H,,U","3.9","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-16","3.7",",,U","11.1","H,,U","-2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-17","7.8",",,U","16.1","H,,U","-1.7","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-18","14.9",",,U","21.7","H,,U","9.4","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-19","15.6",",,U","22.2","H,,U","10.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-20","14.2",",,U","17.8","H,,U","10.6","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-21","11.2",",,U","14.4","H,,U","7.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-22","10.4",",,U","13.3","H,,U","8.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-23","15.8",",,U","21.1","H,,U","8.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-24","16.5",",,U","18.9","H,,U","13.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-25","7.7",",,U","13.3","H,,U","1.7","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-26","4.7",",,U","8.9","H,,U","1.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-27","5.1",",,U","10.0","H,,U","2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-28","-0.1",",,U","2.8","H,,U","-2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-29","-0.1",",,U","7.8","H,,U","-3.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-30","4.6",",,U","12.8","H,,U","-3.9","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2017-12-31","1.3",",,U","4.4","H,,U","-2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-01","-3.6",",,U","-1.1","H,,U","-7.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-02","-4.4",",,U","1.1","H,,U","-7.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-03","-1.7",",,U","1.7","H,,U","-5.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-04","-1.4",",,U","2.8","H,,U","-5.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-05","-3.6",",,U","3.9","H,,U","-8.9","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-06","-4.5",",,U","1.1","H,,U","-9.4","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-07","-5.8",",,U","0.6","H,,U","-10.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-08","1.4",",,U","9.4","H,,U","-8.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-09","9.5",",,U","18.9","H,,U","2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-10","11.5",",,U","15.6","H,,U","6.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-11","18.1",",,U","23.3","H,,U","13.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-12","18.7",",,U","21.1","H,,U","14.4","H,I,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-13","9.8",",,U","13.3","H,I,U","2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-14","1.0",",,U","5.0","H,,U","-2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-15","1.0",",,U","8.3","H,,U","-3.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-16","3.2",",,U","12.8","H,,U","-2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-17","4.3",",,U","13.3","H,,U","-1.7","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-18","-1.0",",,U","4.4","H,,U","-5.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-19","4.6",",,U","12.8","H,,U","-3.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-20","7.8",",,U","14.4","H,,U","0.6","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-21","8.4",",,U","19.4","H,,U","2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-22","10.4",",,U","17.8","H,,U","2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-23","15.5",",,U","18.9","H,,U","10.6","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-24","7.9",",,U","13.9","H,,U","1.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-25","3.9",",,U","11.1","H,,U","-2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-26","5.1",",,U","12.2","H,,U","-2.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-27","11.7",",,U","16.7","H,,U","6.7","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-28","14.7",",,U","17.2","H,,U","12.8","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-29","11.7",",,U","15.0","H,,U","4.4","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-30","4.7",",,U","8.3","H,,U","-1.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-01-31","0.7",",,U","6.1","H,,U","-3.3","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-02-01","9.9",",,U","17.2","H,,U","-1.1","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-02-02","8.7",",,U","15.0","H,,U","0.0","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-02-03","1.8",",,U","5.0","H,,U","-2.2","H,,U"
"USR0000NSUN","SUNNY POINT NORTH CAROLINA, NC US","2018-02-04","11.9",",,U","16.7","H,,U","5.0","H,,U"
