"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-01",,,"20.6",",,W","3.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-02",,,"22.2",",,W","5.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-03",,,"25.0",",,W","7.8",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-04",,,"25.0",",,W","8.9",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-05",,,"8.9",",,W","2.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-06",,,"14.4",",,W","-2.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-07",,,"3.9",",,W","-8.8",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-08",,,"9.4",",,W","-9.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-09",,,"15.6",",,W","-4.9",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-10",,,"23.3",",,W","-4.9",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-11",,,"24.4",",,W","-3.8",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-12",,,"13.9",",,W","-1.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-13",,,"21.7",",,W","-2.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-14",,,"12.8",",,W","0.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-15",,,"12.8",",,W","-3.8",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-16",,,"17.2",",,W","-6.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-17",,,"11.1",",,W","0.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-18",,,"11.1",",,W","3.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-19",,,"13.9",",,W","10.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-20",,,"12.2",",,W","3.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-21",,,"18.9",",,W","1.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-22",,,"2.8",",,W","-0.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-23",,,"7.8",",,W","-4.9",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-24",,,"5.0",",,W","-3.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-25",,,"5.6",",,W","-2.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-26",,,"0.6",",,W","-2.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-27",,,"-1.6",",,W","-6.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-28",,,"2.2",",,W","-1.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-29",,,"7.2",",,W","1.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-30",,,"6.1",",,W","-6.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2017-12-31",,,"-4.3",",,W","-9.9",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-01",,,"-3.2",",,W","-12.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-02",,,"-4.9",",,W","-12.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-03",,,"10.6",",,W","-12.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-04",,,"7.8",",,W","-7.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-05",,,"13.9",",,W","-8.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-06",,,"16.1",",,W","-4.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-07",,,"15.0",",,W","7.8",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-08",,,"16.1",",,W","-1.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-09",,,"20.6",",,W","-2.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-10",,,"17.2",",,W","4.4",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-11",,,"10.0",",,W","-4.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-12",,,"4.4",",,W","-7.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-13",,,"5.6",",,W","-5.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-14",,,"11.7",",,W","-7.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-15",,,"7.2",",,W","-7.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-16",,,"-3.2",",,W","-13.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-17",,,"2.2",",,W","-15.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-18",,,"11.7",",,W","-11.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-19",,,"18.3",",,W","-9.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-20",,,"22.2",",,W","4.4",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-21",,,"22.8",",,W","7.8",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-22",,,"13.3",",,W","-2.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-23",,,"15.0",",,W","-6.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-24",,,"16.7",",,W","-7.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-25",,,"19.4",",,W","-7.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-26",,,"20.0",",,W","9.4",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-27",,,"17.2",",,W","0.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-28",,,"16.7",",,W","-7.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-29",,,"10.0",",,W","-4.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-30",,,"18.3",",,W","-7.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-01-31",,,"24.4",",,W","2.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-01",,,"13.3",",,W","1.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-02",,,"11.1",",,W","-0.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-03",,,"16.7",",,W","-0.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-04",,,"8.9",",,W","-6.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-05",,,"6.1",",,W","-9.9",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-06",,,"1.7",",,W","-6.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-07",,,"8.9",",,W","-7.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-08",,,"16.1",",,W","-8.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-09",,,"20.6",",,W","-3.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-10",,,"0.6",",,W","-6.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-11",,,"5.0",",,W","-10.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-12",,,"7.8",",,W","-12.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-13",,,"10.0",",,W","-5.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-14",,,"25.6",",,W","0.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-15",,,"27.8",",,W","15.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-16",,,"18.9",",,W","3.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-17",,,"18.3",",,W","0.0",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-18",,,"17.8",",,W","-1.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-19",,,"25.6",",,W","16.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-20",,,"21.1",",,W","-2.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-21",,,"-2.1",",,W","-4.3",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-22",,,"1.7",",,W","-2.1",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-23",,,"4.4",",,W","0.6",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-24",,,"16.7",",,W","2.2",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-25",,,"18.3",",,W","-2.7",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-26",,,"18.9",",,W","-0.5",",,W",,
"USW00003950","LAWTON MUNICIPAL AIRPORT, OK US","2018-02-27",,,"14.4",",,W","4.4",",,W",,
