"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-01",,,"8.3",",,7","-2.8",",,7","-1.1",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-02",,,"9.4",",,7","-5.0",",,7","-5.0",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-03",,,"7.8",",,7","-5.0",",,7","-2.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-04",,,"8.9",",,7","-3.9",",,7","-3.9",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-05",,,"8.3",",,7","-4.4",",,7","8.3",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-06",,,"10.0",",,7","0.0",",,7","0.0",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-07",,,"6.1",",,7","-1.1",",,7","-0.6",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-08",,,"5.0",",,7","-3.9",",,7","-3.9",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-09",,,"0.0",",,7","-3.9",",,7","-2.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-10",,,"-0.6",",,7","-6.1",",,7","-1.1",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-11",,,"2.2",",,7","-1.1",",,7","-0.6",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-12",,,"3.9",",,7","-0.6",",,7","2.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-13",,,"4.4",",,7","-8.9",",,7","-7.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-14",,,"-3.9",",,7","-7.8",",,7","-7.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-15",,,"-2.2",",,7","-11.1",",,7","-11.1",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-16",,,"-2.2",",,7","-11.1",",,7","-3.3",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-17",,,"4.4",",,7","-10.6",",,7","-1.1",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-18",,,"1.7",",,7","-1.7",",,7","-0.6",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-19",,,"5.6",",,7","-1.1",",,7","3.3",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-20",,,"13.3",",,7","2.8",",,7","3.3",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-21",,,"5.6",",,7","-5.6",",,7","-3.9",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-22",,,"2.2",",,7","-5.0",",,7","2.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-23",,,"5.0",",,7","1.7",",,7","2.8",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-24",,,"5.6",",,7","0.6",",,7","0.6",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-25",,,"3.9",",,7","-1.1",",,7","-1.1",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-26",,,"3.9",",,7","-8.3",",,7","-8.3",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-27",,,"-3.9",",,7","-10.6",",,7","-9.4",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-28",,,"-6.1",",,7","-13.3",",,7","-13.3",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-29",,,"-7.8",",,7","-13.9",",,7","-12.2",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-30",,,"-7.8",",,7","-13.9",",,7","-9.4",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2017-12-31",,,"-5.6",",,7","-13.9",",,7","-13.9",",,7,0700"
"USC00367931","SELINSGROVE 2 S, PA US","2018-01-01",,,"-10.6",",,7","-21.7",",,7","-20.6",",,7,0700"
