"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-01",,,"23.9",",,W","11.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-02",,,"21.1",",,W","12.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-03",,,"18.3",",,W","8.9",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-04",,,"21.7",",,W","7.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-05",,,"24.4",",,W","10.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-06",,,"20.6",",,W","7.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-07",,,"8.9",",,W","5.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-08",,,"6.1",",,W","5.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-09",,,"6.1",",,W","2.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-10",,,"10.0",",,W","-1.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-11",,,"14.4",",,W","-1.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-12",,,"17.2",",,W","5.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-13",,,"10.6",",,W","0.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-14",,,"16.7",",,W","4.4",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-15",,,"18.3",",,W","5.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-16",,,"12.8",",,W","0.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-17",,,"17.8",",,W","-0.5",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-18",,,"22.2",",,W","11.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-19",,,"25.0",",,W","13.3",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-20",,,"21.7",",,W","15.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-21",,,"17.8",",,W","11.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-22",,,"20.6",",,W","7.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-23",,,"23.3",",,W","10.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-24",,,"22.2",",,W","12.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-25",,,"12.2",",,W","3.9",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-26",,,"10.0",",,W","3.3",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-27",,,"10.0",",,W","6.1",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-28",,,"6.1",",,W","1.1",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-29",,,"9.4",",,W","-1.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-30",,,"13.3",",,W","-2.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017-12-31",,,"9.4",",,W","0.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-01",,,"1.1",",,W","-4.9",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-02",,,"1.7",",,W","-7.1",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-03",,,"-0.5",",,W","-4.3",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-04",,,"2.8",",,W","-8.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-05",,,"3.3",",,W","-9.9",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-06",,,"1.1",",,W","-6.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-07",,,"2.8",",,W","-7.1",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-08",,,"17.8",",,W","-3.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-09",,,"22.2",",,W","6.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-10",,,"18.9",",,W","8.9",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-11",,,"25.0",",,W","13.9",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-12",,,"21.7",",,W","14.4",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-13",,,"15.0",",,W","3.3",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-14",,,"8.9",",,W","-1.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-15",,,"9.4",",,W","-2.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-16",,,"15.0",",,W","-2.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-17",,,"11.1",",,W","0.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-18",,,"8.3",",,W","-3.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-19",,,"16.7",",,W","-3.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-20",,,"18.3",",,W","0.0",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-21",,,"21.7",",,W","5.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-22",,,"22.8",",,W","4.4",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-23",,,"25.6",",,W","11.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-24",,,"17.2",",,W","4.4",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-25",,,"13.9",",,W","2.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-26",,,"17.2",",,W","-0.5",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-27",,,"23.3",",,W","8.3",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-28",,,"18.9",",,W","12.2",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-29",,,"17.2",",,W","7.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-30",,,"11.1",",,W","1.1",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-01-31",,,"11.1",",,W","-1.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-01",,,"20.0",",,W","1.7",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-02",,,"17.2",",,W","3.3",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-03",,,"10.0",",,W","0.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-04",,,"19.4",",,W","5.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-05",,,"17.2",",,W","6.1",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-06",,,"23.3",",,W","2.8",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-07",,,"23.9",",,W","10.6",",,W",,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018-02-08",,,"18.3",",,W","6.7",",,W",,
