"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-01",,,"11.7",",,W","-1.6",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-02",,,"17.2",",,W","-2.1",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-03",,,"12.2",",,W","-1.6",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-04",,,"8.9",",,W","-4.9",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-05",,,"4.4",",,W","-4.3",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-06",,,"2.2",",,W","-11.6",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-07",,,"2.8",",,W","-14.9",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-08",,,"5.6",",,W","-2.7",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-09",,,"10.0",",,W","-2.7",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-10",,,"16.7",",,W","3.3",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-11",,,"10.0",",,W","0.0",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-12",,,"15.6",",,W","-3.2",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-13",,,"12.8",",,W","-2.1",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-14",,,"3.9",",,W","-2.7",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-15",,,"10.0",",,W","-2.7",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-16",,,"6.7",",,W","0.6",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-17",,,"6.1",",,W","-2.1",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-18",,,"13.9",",,W","-0.5",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-19",,,"8.3",",,W","-3.8",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-20",,,"8.9",",,W","-2.1",",,W",,
"USW00094990","WINNER WILEY FIELD, SD US","2017-12-21",,,"-1.6",",,W","-12.1",",,W",,
