"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-01",,,"15.0",",,7","2.8",",,7","8.3",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-02",,,"16.7",",,7","5.0",",,7","6.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-03",,,"17.8",",,7","2.2",",,7","4.4",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-04",,,"16.7",",,7","2.2",",,7","4.4",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-05",,,"19.4",",,7","3.9",",,7","10.0",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-06",,,"12.2",",,7","0.6",",,7","0.6",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-07",,,"5.6",",,7","-0.6",",,7","-0.6",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-08",,,"8.9",",,7","-1.1",",,7","-1.1",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-09",,,"0.6",",,7","-1.7",",,7","-1.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-10",,,"3.9",",,7","-3.9",",,7","-2.2",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-11",,,"5.0",",,7","-2.8",",,7","-2.8",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-13",,,"5.6",",,7","-7.8",",,7","-7.8",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-14",,,"6.7",",,7","-7.8",",,7","2.8",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-16",,,"7.8",",,7","-6.1",",,7","-5.6",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-18",,,"5.6",",,7","-0.6",",,7","3.9",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-19",,,"10.6",",,7","2.2",",,7","8.3",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-20",,,"15.0",",,7","8.3",",,7","10.0",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-21",,,"12.8",",,7","8.3",",,7","8.3",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-22",,,"12.2",",,7","3.3",",,7","6.1",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-23",,,"12.2",",,7","6.1",",,7","11.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-24",,,"18.9",",,7","4.4",",,7","5.0",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-27",,,"7.8",",,7","-6.1",",,7","1.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-29",,,"3.3",",,7","-2.8",",,7","1.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-30",,,"5.0",",,7","-3.3",",,7","-1.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2017-12-31",,,"1.7",",,7","-6.1",",,7","-5.6",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-03",,,"-4.4",",,7","-9.4",",,7","-8.3",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-04",,,"0.6",",,7","-8.3",",,7","-7.8",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-05",,,"-6.7",",,7","-11.7",",,7","-10.6",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-06",,,"-5.6",",,7","-16.1",",,7","-15.6",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-08",,,"0.6",",,7","-10.6",",,7","-3.3",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-09",,,"1.7",",,7","-3.3",",,7","1.7",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-10",,,"10.6",",,7","1.1",",,7","5.0",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-11",,,"18.9",",,7","1.1",",,7","13.3",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-12",,,"19.4",",,7","11.7",",,7","12.2",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-13",,,"13.3",",,7","-5.0",",,7","-5.0",",,7,0700"
"USC00406271","MORRISTOWN RADIO WCRK, TN US","2018-01-14",,,"-4.4",",,7","-10.6",",,7","-8.9",",,7,0700"
