"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-01",,,"6.7",",,7","-9.4",",,7","1.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-02",,,"2.2",",,7","-2.8",",,7","-1.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-03",,,"1.7",",,7","-5.6",",,7",,
"USC00437612","SOUTH LINCOLN, VT US","2017-12-04",,,"2.8",",,7","-6.1",",,7","-6.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-05",,,"6.1",",,7","-6.1",",,7","6.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-06",,,"9.4",",,7","0.0",",,7","0.0",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-07",,,"1.7",",,7","-1.7",",,7","-1.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-08",,,"-0.6",",,7","-4.4",",,7","-3.9",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-09",,,"-1.1",",,7","-7.2",",,7","-7.2",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-10",,,"-1.1",",,7","-8.3",",,7","-6.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-11",,,"-1.1",",,7","-6.1",",,7","-3.9",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-12",,,"-3.9",",,7","-10.6",",,7","-4.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-13",,,"0.0",",,7","-10.0",",,7","-10.0",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-14",,,"-9.4",",,7","-20.0",",,7","-20.0",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-15",,,"-9.4",",,7","-20.6",",,7","-20.0",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-16",,,"-6.7",",,7","-20.0",",,7","-9.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-17",,,"-5.0",",,7","-22.2",",,7","-21.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-18",,,"-5.6",",,7","-21.7",",,7","-5.6",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-19",,,"1.7",",,7","-5.6",",,7","1.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-20",,,"3.3",",,7","-3.3",",,7","-1.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-21",,,"-1.7",",,7","-17.2",",,7","-17.2",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-22",,,"-7.8",",,7","-17.2",",,7","-11.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-23",,,"-1.1",",,7","-11.7",",,7","-1.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-24",,,"2.2",",,7","-6.7",",,7","-6.7",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-25",,,"-3.9",",,7","-7.2",",,7","-7.2",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-26",,,"-3.3",",,7","-12.2",",,7","-12.2",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-27",,,"-10.0",",,7","-22.8",",,7","-22.8",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-28",,,"-13.9",",,7","-29.4",",,7","-29.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-29",,,"-18.3",",,7","-30.0",",,7","-23.3",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-30",,,"-18.9",",,7","-26.1",",,7","-24.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2017-12-31",,,"-12.8",",,7","-25.0",",,7","-23.3",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-01",,,"-18.9",",,7","-30.6",",,7","-30.6",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-02",,,"-17.8",",,7","-30.6",",,7","-27.2",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-03",,,"-10.6",",,7","-28.3",",,7","-14.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-04",,,"-6.1",",,7","-19.4",",,7","-12.2",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-05",,,"-8.9",",,7","-19.4",",,7","-19.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-06",,,"-19.4",",,7","-25.0",",,7","-25.0",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-07",,,"-21.7",",,7","-31.1",",,7","-31.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-08",,,"-7.8",",,7","-31.1",",,7","-7.8",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-09",,,"-1.7",",,7","-7.8",",,7","-2.8",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-10",,,"-1.7",",,7","-14.4",",,7","-14.4",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-11",,,"3.9",",,7","-15.6",",,7","3.3",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-12",,,"12.8",",,7","3.3",",,7","3.3",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-13",,,"16.1",",,7","-11.7",",,7","-11.1",",,7,0700"
"USC00437612","SOUTH LINCOLN, VT US","2018-01-14",,,"-11.1",",,7","-23.3",",,7","-23.3",",,7,0700"
