State,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods
Alaska,1,1,1,1,1,1,1,1,1,1
Alabama,0,1,1,1,1,1,1,1,1,1
Arkansas,0,1,1,1,1,1,1,1,1,1
Arizona,0,1,1,1,1,1,1,1,1,1
California,1,1,1,1,1,1,1,1,1,1
Colorado,1,1,1,1,1,1,1,1,1,0
Connecticut,0,1,1,1,1,1,1,1,1,1
District of Columbia,0,1,1,1,1,1,0,0,0,1
Delaware,0,1,1,1,1,1,1,1,0,1
Florida,0,1,1,1,1,1,1,1,0,1
Georgia,0,1,1,1,1,1,1,1,1,1
Hawaii,0,1,1,1,1,1,1,1,1,1
Iowa,0,1,1,1,1,1,1,1,0,1
Idaho,0,1,1,1,1,1,1,1,1,1
Illinois,0,1,1,1,1,1,1,1,1,1
Indiana,0,1,1,1,1,1,1,1,1,0
Kansas,0,1,0,1,1,1,1,1,1,0
Kentucky,0,1,0,1,1,1,1,1,1,1
Louisiana,0,1,1,1,1,1,1,1,1,1
Massachusetts,0,1,1,1,1,1,1,1,1,1
Maryland,0,1,1,1,1,1,1,1,0,1
Maine,0,1,1,1,1,1,1,1,1,1
Michigan,0,1,1,1,1,1,1,1,0,1
Minnesota,0,1,1,1,1,1,1,1,0,0
Missouri,0,1,1,1,1,1,1,1,1,1
Mississippi,0,1,1,1,1,1,1,1,0,1
Montana,1,1,1,1,1,1,1,1,1,0
North Carolina,0,1,1,1,1,1,1,1,1,1
North Dakota,0,1,0,1,1,1,1,1,1,1
Nebraska,0,1,1,1,1,1,1,1,1,1
New Hampshire,0,1,1,1,1,1,1,1,0,1
New Jersey,0,1,1,0,1,1,1,1,0,1
New Mexico,0,1,1,1,1,1,1,1,1,1
Nevada,0,1,1,1,1,1,1,1,1,1
New York,0,1,1,1,1,1,1,1,1,1
Ohio,0,1,1,1,1,1,1,1,0,1
Oklahoma,0,1,1,1,1,1,1,1,0,0
Oregon,1,1,1,1,1,1,1,1,1,1
Pennsylvania,0,1,1,1,1,1,1,1,0,1
Rhode Island,0,1,1,1,1,1,1,1,0,1
South Carolina,0,1,1,1,1,1,1,1,0,1
South Dakota,0,1,1,1,1,1,1,1,1,1
Tennessee,0,1,1,1,1,1,1,1,1,1
Texas,0,1,1,1,1,1,1,1,1,1
Utah,1,1,1,1,1,1,1,1,1,1
Virginia,0,1,1,1,1,1,1,1,0,1
Vermont,1,1,1,1,1,1,1,1,0,1
Washington,1,1,1,1,1,1,1,1,1,1
Wisconsin,0,1,1,1,1,1,1,1,0,1
West Virginia,0,1,1,1,1,1,1,1,0,1
Wyoming,1,1,0,1,1,1,1,1,1,0
United States Naval Base Guantanamo Bay,0,0,0,0,0,0,0,0,0,0
