,State,2018 Population,sq.miles,km²,Population_Density(km²),Population_Density(sq.miles)
0,Alabama,4888949,50744,131426,37.19925281146805,96.34536102790477
1,Alaska,738068,567400,1481347,0.49824112783837954,1.3007895664434261
2,Arizona,7123898,113635,294312,24.20525836527223,62.69105469265631
3,Arkansas,3020327,52068,134856,22.396682387138874,58.007355765537376
4,California,39776830,155959,403933,98.4738310561405,255.04671099455626
5,Colorado,5684203,103718,268627,21.16020727626039,54.80440232167994
6,Connecticut,3588683,4845,12548,285.9964137711189,740.698245614035
7,Delaware,971180,1954,6030,161.0580431177446,497.021494370522
8,Florida,21312211,53927,139670,152.58975442113552,395.20483245869417
9,Georgia,10545138,57906,149976,70.31216994719155,182.1078644700031
10,Hawaii,1426393,6423,16635,85.74649834685903,222.07582126732058
11,Idaho,1753860,82747,214314,8.183599764831042,21.195451194605244
12,Illinois,12768320,55584,143961,88.69290988531617,229.71214738054115
13,Indiana,6699629,35867,92895,72.12044781742829,186.7908941366716
14,Iowa,3160553,55869,144701,21.8419568627722,56.57078164993109
15,Kansas,2918515,81815,211900,13.773076923076923,35.67212613823871
16,Kentucky,4472265,39728,102896,43.46393445809361,112.57211538461539
17,Louisiana,4682509,43562,112825,41.50240638156437,107.4906799504155
18,Maine,1341582,30862,79931,16.78425141684703,43.4703518890545
19,Maryland,6079602,9774,25314,240.16757525479971,622.0178023327195
20,Massachusetts,6895917,7840,20306,339.59997045208314,879.58125
21,Michigan,9991177,58110,150504,66.38479375963429,171.93558767854068
22,Minnesota,5628162,79610,206189,27.296131219415198,70.69667127245322
23,Mississippi,2982785,46907,121488,24.552095680231794,63.58933634638753
24,Missouri,6135888,68886,178414,34.39129216317105,89.07307725807857
25,Montana,1062330,145552,376979,2.8180084301778083,7.29862866879191
26,Nebraska,1932549,76872,199099,9.706472659330283,25.13982984701842
27,Nevada,3056824,109826,284448,10.746512543593205,27.833336368437347
28,New Hampshire,1350575,9250,23956,56.37731674737018,146.0081081081081
29,New Jersey,9032872,7417,19211,470.19270209775647,1217.8605905352567
30,New Mexico,2090708,121356,314309,6.6517598923352494,17.227891492798047
31,New York,19862512,47214,122283,162.43068946623816,420.69115092980894
32,North Carolina,10390149,48711,126161,82.35626699217666,213.30190306091026
33,North Dakota,755238,68976,178647,4.227543703504677,10.94928670842032
34,Ohio,11694664,40948,106056,110.26876367202233,285.5979290807854
35,Oklahoma,3940521,68667,177847,22.15680331970739,57.385949582769015
36,Oregon,4199563,98386,254818,16.480637160640143,42.68455877868802
37,Pennsylvania,12823989,44817,116074,110.48114995606251,286.14117410803937
38,Rhode Island,1061712,1045,2706,392.3547671840355,1015.9923444976076
39,South Carolina,5088916,30109,77983,65.25673544234,169.0164402670298
40,South Dakota,877790,75885,196540,4.466215528645568,11.567371680832839
41,Tennessee,6782564,41217,106752,63.535708932853716,164.55743989130698
42,Texas,28704330,261797,678051,42.333585526752415,109.64346421081983
43,Utah,3159345,82144,212751,14.849965452571317,38.461056194000776
44,Vermont,623960,8968,23227,26.863563955741164,69.57627118644068
45,Virginia,8525660,39594,102548,83.13823770331942,215.32706975804416
46,Washington,7530552,66544,172348,43.693875182769744,113.16650637172397
47,West Virginia,1803077,24230,62361,28.91353570340437,74.41506397028478
48,Wisconsin,5818049,54310,140663,41.36161606108216,107.12666175658258
49,Wyoming,573720,97105,251489,2.28129262114844,5.9082436537768395
